Subclass,Description,Reference
0x00000001,G.723.1,[RFC5457]
0x00000002,GSM Full Rate,[RFC5457]
0x00000004,G.711 mu-law,[RFC5457]
0x00000008,G.711 a-law,[RFC5457]
0x00000010,G.726,[RFC5457]
0x00000020,IMA ADPCM,[RFC5457]
0x00000040,16-bit linear little-endian,[RFC5457]
0x00000080,LPC10,[RFC5457]
0x00000100,G.729,[RFC5457]
0x00000200,Speex,[RFC5457]
0x00000400,ILBC,[RFC5457]
0x00000800,G.726 AAL2,[RFC5457]
0x00001000,G.722,[RFC5457]
0x00002000,AMR,[RFC5457]
0x00010000,JPEG,[RFC5457]
0x00020000,PNG,[RFC5457]
0x00040000,H.261,[RFC5457]
0x00080000,H.263,[RFC5457]
0x00100000,H.263p,[RFC5457]
0x00200000,H.264,[RFC5457]
