Value,Name,Reference
0,Invalid,[RFC6143]
1,None,[RFC6143]
2,VNC Authentication,[RFC6143]
3-15,RealVNC,historic assignment
16,Tight,historic assignment
17,Ultra,historic assignment
18,TLS,historic assignment
19,VeNCrypt,historic assignment
20,GTK-VNC SASL,historic assignment
21,MD5 hash authentication,historic assignment
22,Colin Dean xvp,historic assignment
23,Secure Tunnel,[RFC7869]
24,Integrated SSH,[RFC7869]
25-29,Unassigned,
30-36,Apple Inc.,[Michael_Stein]
37-127,Unassigned,
128,RealVNC,historic assignment
129,RealVNC,historic assignment
129,Tight Unix Login Authentication,[Samuel_Mannehed]
130-134,RealVNC,historic assignment
135-191,Unassigned,
192,RealVNC,historic assignment
193-255,Unassigned,
