Value,Name,Reference
0,SetPixelFormat,[RFC6143]
1,Unassigned,
2,SetEncodings,[RFC6143]
3,FramebufferUpdateRequest,[RFC6143]
4,KeyEvent,[RFC6143]
5,PointerEvent,[RFC6143]
6,ClientCutText,[RFC6143]
7-21,Possibly used in UltraVNC,historic assignment
22-79,Unassigned,
80,Possibly used in UltraVNC,historic assignment
81-126,Unassigned,
127,VMWare,historic assignment
128,Car Connectivity,"[Jörg_Brakensiek]
        [Terminal Mode v1.0]"
129-149,Unassigned,
150,TightVNC EnableContinuousUpdates,historic assignment
151-247,Unassigned,
248,ClientFence,TigerVNC
249,OLIVE Call Control,historic assignment
250,Colin Dean xvp,historic assignment
251,Pierre Ossman SetDesktopSize,historic assignment
252,tight,historic assignment
253,gii,historic assignment
254,VMWare,historic assignment
255,Anthony Liguori,historic assignment
