Service Code,ASCII,Description,Reference
0,,Reserved,[RFC4340]
1-7107695,,Reserved (see Note above),[RFC4340]
7107696,,LTP,[RFC7122]
7107697-1073741823,,Private Use,[RFC4340]
1073741824-1145656130,,Reserved (see Note above),[RFC4340]
1145656131,DISC,Discard,[RFC4340]
1145656132-1381253967,,Reserved (see Note above),[RFC4340]
1381253968,RTCP,"RTCP connection, separate from the corresponding RTP",[RFC5762]
1381253969-1381257280,,Reserved (see Note above),[RFC4340]
1381257281,RTPA,RTP session conveying audio data (and associated RTCP),[RFC5762]
1381257282-1381257294,,Reserved (see Note above),[RFC4340]
1381257295,RTPO,RTP session conveying other media (and associated RTCP),[RFC5762]
1381257296-1381257299,,Reserved (see Note above),[RFC4340]
1381257300,RTPT,RTP session conveying text media (and associated RTCP),[RFC5762]
1381257301,,Reserved (see Note above),[RFC4340]
1381257302,RTPV,RTP session conveying video data (and associated RTCP),[RFC5762]
1381257303-1398361158,,Reserved (see Note above),[RFC4340]
1398361159,SYLG,Syslog Protocol,[RFC6012]
1398361160-1685351984,,Reserved (see Note above),[RFC4340]
1685351985,,Bundles,[RFC7122]
1685351986-1852861807,,Reserved (see Note above),[RFC4340]
1852861808,npmp,NetPerfMeter Protocol on the Data Channel (NPMP-DATA),[Thomas_Dreibholz]
1852861809-4294967294,,Reserved (see Note above),[RFC4340]
4294967295,,Reserved (Invalid - Not available for allocation),[RFC4340]
