Name,Description,Type,Reference
P564,ITU-T P.564 Compliant Algorithm,voice,"[ITU-T Recommendation P.564, July 2006]"
G107,ITU-T G.107,voice,"[ITU-T Recommendation G.107, April 2009]"
TS101_329,ETSI TS 101 329-5 Annex E,voice,[ETSI TS 101 329-5 V1.1.1]
JJ201_1,TTC JJ201.1,voice,"[TTC 201.01, ""A method for speech quality assessment for Voice over IP.""]"
G107_1,ITU-T G.107.1,voice,"[ITU-T Recommendation G.107.1, December 2011]"
P862,ITU-T P.862,voice,"[ITU-T Recommendation P.862, February 2001]"
P862_2,ITU-T P.862.2,voice,"[ITU-T Recommendation P.862.2, November 2007]"
P863,ITU-T P.863,voice,"[ITU-T Recommendation P.863, January 2011]"
P1201_1,ITU-T P.1201.1,multimedia,"[ITU-T P.1201.1, October 2012]"
P1201_2,ITU-T P.1201.2,multimedia,"[ITU-T P.1201.2, October 2012]"
P1202_1,ITU-T P.1202.1,video,"[ITU-T P.1202.1, October 2012]"
P1202_2,ITU-T P.1202.2,video,"[ITU-T P.1202.2, May 2013]"
