Value,Name,Long Name,Reference
0,IPv4 Address,IPv4 Feedback Target Address,[RFC5760]
1,IPv6 Address,IPv6 Feedback Target Address,[RFC5760]
2,DNS Name,DNS Name indicating Feedback Target Address,[RFC5760]
3,Reserved,Reserved for Assignment by Standards Action,[RFC5760]
4,Loss,Loss distribution,[RFC5760]
5,Jitter,Jitter distribution,[RFC5760]
6,RTT,Round-trip time distribution,[RFC5760]
7,Cumulative loss,Cumulative loss distribution,[RFC5760]
8,Collisions,SSRC Collision list,[RFC5760]
9,Reserved,Reserved for Assignment by Standards Action,[RFC5760]
10,Stats,General statistics,[RFC5760]
11,RTCP BW,RTCP Bandwidth indication,[RFC5760]
12,Group Info,RTCP Group and Average Packet size,[RFC5760]
