Value,Name,Long Name,Reference
1,PLI,Picture Loss Indication,[RFC4585]
2,SLI,Slice Loss Indication,[RFC4585]
3,RPSI,Reference Picture Selection Indication,[RFC4585]
4,FIR,Full Intra Request Command,[RFC5104]
5,TSTR,Temporal-Spatial Trade-off Request,[RFC5104]
6,TSTN,Temporal-Spatial Trade-off Notification,[RFC5104]
7,VBCM,Video Back Channel Message,[RFC5104]
8,PSLEI,Payload-Specific Third-Party Loss Early Indication,[RFC6642]
9,ROI,Video region-of-interest (ROI),[3GPP TS 26.114 v13.1.0][Ozgur_Oyman]
10-14,,Unassigned,
15,AFB,Application Layer Feedback,[RFC4585]
16-30,,Unassigned,
31,Extension,Reserved for future extensions,[RFC4585]
