CCP Option,Configuration Type,Reference
0,OUI,[RFC1962]
1,Predictor type 1,[RFC1962]
2,Predictor type 2,[RFC1962]
3,Puddle Jumper,[RFC1962]
4-15,Unassigned,
16,Hewlett-Packard PPC,[RFC1962]
17,Stac Electronics LZS,[RFC1974]
18,Microsoft PPC,[RFC2118]
19,Gandalf FZA,[RFC1993]
20,V.42bis compression,[RFC1962]
21,BSD Compress,[RFC1977]
22,Unassigned,
23,LZS-DCP,[RFC1967]
24,MVRCA (Magnalink),[RFC1975]
25,Unassigned,
26,Deflate,[RFC1979]
27,V.44/LZJH Compression Protocol,[Jeff_Heath]
28-254,Unassigned,
255,Reserved,[RFC1962]
