Value,Description,Reference
0,Reserved,[RFC3868]
1,Connection Request (CORE),[RFC3868]
2,Connection Acknowledge (COAK),[RFC3868]
3,Connection Refused (COREF),[RFC3868]
4,Release Request (RELRE),[RFC3868]
5,Release Complete (RELCO),[RFC3868]
6,Reset Confirm (RESCO),[RFC3868]
7,Reset Request (RESRE),[RFC3868]
8,Connection Oriented Data Transfer (CODT),[RFC3868]
9,Connection Oriented Data Acknowledge (CODA),[RFC3868]
10,Connection Oriented Error (COERR),[RFC3868]
11,Inactivity Test (COIT),[RFC3868]
12-127,Unassigned,
128-255,Reserved for IETF-Defined Message Class Extensions,
