Opcode,Argument,Description,Reference,Note
0,TTY_OP_END,Indicates end of options.,[RFC4250],
1,VINTR,"Interrupt character; 255 if none.         
Similarly for the other characters.
Not all of these characters are
supported on all systems.",[RFC4254],Section 8
2,VQUIT,"The quit character (sends SIGQUIT         
signal on POSIX systems).",[RFC4254],Section 8
3,VERASE,"Erase the character to left of the        
cursor.",[RFC4254],Section 8
4,VKILL,Kill the current input line.,[RFC4254],Section 8
5,VEOF,"End-of-file character (sends EOF from     
the terminal).",[RFC4254],Section 8
6,VEOL,"End-of-line character in addition to      
carriage return and/or linefeed.",[RFC4254],Section 8
7,VEOL2,Additional end-of-line character.,[RFC4254],Section 8
8,VSTART,"Continues paused output (normally         
control-Q).",[RFC4254],Section 8
9,VSTOP,Pauses output (normally control-S).,[RFC4254],Section 8
10,VSUSP,Suspends the current program.,[RFC4254],Section 8
11,VDSUSP,Another suspend character.,[RFC4254],Section 8
12,VREPRINT,Reprints the current input line.,[RFC4254],Section 8
13,VWERASE,Erases a word left of cursor.,[RFC4254],Section 8
14,VLNEXT,"Enter the next character typed literally, 
even if it is a special character",[RFC4254],Section 8
15,VFLUSH,Character to flush output.,[RFC4254],Section 8
16,VSWTCH,Switch to a different shell layer.,[RFC4254],Section 8
17,VSTATUS,"Prints system status line (load, command, 
pid, etc).",[RFC4254],Section 8
18,VDISCARD,Toggles the flushing of terminal output.,[RFC4254],Section 8
19-29,Unassigned,,,
30,IGNPAR,"The ignore parity flag.  The parameter    
SHOULD be 0 if this flag is FALSE,
and 1 if it is TRUE.",[RFC4254],Section 8
31,PARMRK,Mark parity and framing errors.,[RFC4254],Section 8
32,INPCK,Enable checking of parity errors.,[RFC4254],Section 8
33,ISTRIP,Strip 8th bit off characters.,[RFC4254],Section 8
34,INLCR,Map NL into CR on input.,[RFC4254],Section 8
35,IGNCR,Ignore CR on input.,[RFC4254],Section 8
36,ICRNL,Map CR to NL on input.,[RFC4254],Section 8
37,IUCLC,"Translate uppercase characters to         
lowercase.",[RFC4254],Section 8
38,IXON,Enable output flow control.,[RFC4254],Section 8
39,IXANY,Any char will restart after stop.,[RFC4254],Section 8
40,IXOFF,Enable input flow control.,[RFC4254],Section 8
41,IMAXBEL,Ring bell on input queue full.,[RFC4254],Section 8
42,IUTF8,"Terminal input and output is assumed to be
      encoded in UTF-8.",[RFC8160],
43-49,Unassigned,,,
50,ISIG,"Enable signals INTR, QUIT, [D]SUSP.",[RFC4254],Section 8
51,ICANON,Canonicalize input lines.,[RFC4254],Section 8
52,XCASE,"Enable input and output of uppercase      
characters by preceding their lowercase
equivalents with ""\"".",[RFC4254],Section 8
53,ECHO,Enable echoing.,[RFC4254],Section 8
54,ECHOE,Visually erase chars.,[RFC4254],Section 8
55,ECHOK,Kill character discards current line.,[RFC4254],Section 8
56,ECHONL,Echo NL even if ECHO is off.,[RFC4254],Section 8
57,NOFLSH,Don't flush after interrupt.,[RFC4254],Section 8
58,TOSTOP,Stop background jobs from output.,[RFC4254],Section 8
59,IEXTEN,Enable extensions.,[RFC4254],Section 8
60,ECHOCTL,Echo control characters as ^(Char).,[RFC4254],Section 8
61,ECHOKE,Visual erase for line kill.,[RFC4254],Section 8
62,PENDIN,Retype pending input.,[RFC4254],Section 8
63-69,Unassigned,,,
70,OPOST,Enable output processing.,[RFC4254],Section 8
71,OLCUC,Convert lowercase to uppercase.,[RFC4254],Section 8
72,ONLCR,Map NL to CR-NL.,[RFC4254],Section 8
73,OCRNL,"Translate carriage return to newline      
(output).",[RFC4254],Section 8
74,ONOCR,"Translate newline to carriage             
return-newline (output).",[RFC4254],Section 8
75,ONLRET,"Newline performs a carriage return        
(output).",[RFC4254],Section 8
76-89,Unassigned,,,
90,CS7,7 bit mode.,[RFC4254],Section 8
91,CS8,8 bit mode.,[RFC4254],Section 8
92,PARENB,Parity enable.,[RFC4254],Section 8
93,PARODD,"Odd parity, else even.",[RFC4254],Section 8
94-127,Unassigned,,,
128,TTY_OP_ISPEED,"Specifies the input baud rate in          
bits per second.",[RFC4254],Section 8
129,TTY_OP_OSPEED,"Specifies the output baud rate in         
bits per second.",[RFC4254],Section 8
130-255,Unassigned,,,
