Error-Code,Description,Reference
1,Bad handle,[RFC2748]
2,Invalid handle reference,[RFC2748]
3,Bad message format,[RFC2748]
4,Unable to process,[RFC2748]
5,Mandatory client-specific info missing,[RFC2748]
6,Unsupported client-type,[RFC2748]
7,Mandatory COPS object missing,[RFC2748]
8,Client Failure,[RFC2748]
9,Communication Failure,[RFC2748]
10,Unspecified,[RFC2748]
11,Shutting down,[RFC2748]
12,Redirect to Preferred Server,[RFC2748]
13,Unknown COPS Object,[RFC2748]
14,Authentication Failure,[RFC2748]
15,Authentication Required,[RFC2748]
