Value,Description,Reference
1,IPv4,[RFC2205]
2,IPv6,[RFC2205]
3,IPv4/GPI,[RFC2207]
4,IPv6/GPI,[RFC2207]
5,unassigned,[Internet_Assigned_Nu]
6,tagged_tunnel_IPv4,[Fred_Baker]
7,LSP Tunnel IPv4,[RFC3209]
8,LSP Tunnel IPv6,[RFC3209]
9,RSVP-Aggregate-IP4,[RFC3175]
10,RSVP-Aggregate-IP6,[RFC3175]
11,UNI_IPv4_Session object,[RFC3476]
12,UNI_IPv6 SESSION object (ASON),[RFC3474]
13,P2MP_LSP_TUNNEL_IPv4,[RFC4875]
14,P2MP_LSP_TUNNEL_IPv6,[RFC4875]
15,ENNI_IPv4 SESSION object (ASON),[RFC3474]
16,ENNI_IPv6 SESSION object (ASON),[RFC3474]
17,GENERIC-AGGREGATE-IP4,[RFC4860]
18,GENERIC-AGGREGATE-IP6,[RFC4860]
19,VPN-IPv4,[RFC6016]
20,VPN-IPv6,[RFC6016]
21,AGGREGATE-VPN-IPv4,[RFC6016]
22,AGGREGATE-VPN-IPv6,[RFC6016]
23,GENERIC-AGGREGATE-VPN-IPv4,[RFC6016]
24,GENERIC-AGGREGATE-VPN-IPv6,[RFC6016]
