Value,Description,Reference
0,Binding Update accepted/Proxy Binding Update accepted,[RFC6275][RFC5213]
1,Accepted but prefix discovery necessary,[RFC6275]
2,GRE_KEY_OPTION_NOT_REQUIRED,[RFC5845]
3,GRE_TUNNELING_BUT_TLV_HEADER_NOT_SUPPORTED,[RFC5845]
4,MCOA NOTCOMPLETE,[RFC5648]
5,MCOA RETURNHOME WO/NDP,[RFC5648]
6,PBU_ACCEPTED_TB_IGNORED_SETTINGSMISMATCH,[RFC6058]
7-127,Unassigned,
128,Reason unspecified,[RFC6275]
129,Administratively prohibited,[RFC6275]
130,Insufficient resources,[RFC6275]
131,Home registration not supported,[RFC6275]
132,Not home subnet,[RFC6275]
133,Not home agent for this mobile node,[RFC6275]
134,Duplicate Address Detection failed,[RFC6275]
135,Sequence number out of window,[RFC6275]
136,Expired home nonce index,[RFC6275]
137,Expired care-of nonce index,[RFC6275]
138,Expired nonces,[RFC6275]
139,Registration type change disallowed,[RFC6275]
140,Mobile Router Operation not permitted,[RFC3963]
141,Invalid Prefix,[RFC3963]
142,Not Authorized for Prefix,[RFC3963]
143,Forwarding Setup failed,[RFC3963]
144,MIPV6-ID-MISMATCH,[RFC4285]
145,MIPV6-MESG-ID-REQD,[RFC4285]
146,MIPV6-AUTH-FAIL,[RFC4285]
147,Permanent home keygen token unavailable,[RFC4866]
148,CGA and signature verification failed,[RFC4866]
149,Permanent home keygen token exists,[RFC4866]
150,Non-null home nonce index expected,[RFC4866]
151,SERVICE_AUTHORIZATION_FAILED,[RFC5149]
152,PROXY_REG_NOT_ENABLED,[RFC5213]
153,NOT_LMA_FOR_THIS_MOBILE_NODE,[RFC5213]
154,MAG_NOT_AUTHORIZED_FOR_PROXY_REG,[RFC5213]
155,NOT_AUTHORIZED_FOR_HOME_NETWORK_PREFIX,[RFC5213]
156,TIMESTAMP_MISMATCH,[RFC5213]
157,TIMESTAMP_LOWER_THAN_PREV_ACCEPTED,[RFC5213]
158,MISSING_HOME_NETWORK_PREFIX_OPTION,[RFC5213]
159,BCE_PBU_PREFIX_SET_DO_NOT_MATCH,[RFC5213]
160,MISSING_MN_IDENTIFIER_OPTION,[RFC5213]
161,MISSING_HANDOFF_INDICATOR_OPTION,[RFC5213]
162,MISSING_ACCESS_TECH_TYPE_OPTION,[RFC5213]
163,GRE_KEY_OPTION_REQUIRED,[RFC5845]
164,MCOA MALFORMED,[RFC5648]
165,MCOA NON-MCOA BINDING EXISTS,[RFC5648]
166,MCOA PROHIBITED,[RFC5648]
167,MCOA UNKNOWN COA,[RFC5648]
168,MCOA BULK REGISTRATION PROHIBITED,[RFC5648]
169,MCOA SIMULTANEOUS HOME AND FOREIGN PROHIBITED,[RFC5648]
170,NOT_AUTHORIZED_FOR_IPV4_MOBILITY_SERVICE,[RFC5844]
171,NOT_AUTHORIZED_FOR_IPV4_HOME_ADDRESS,[RFC5844]
172,NOT_AUTHORIZED_FOR_IPV6_MOBILITY_SERVICE,[RFC5844]
173,MULTIPLE_IPV4_HOME_ADDRESS_ASSIGNMENT_NOT_SUPPORTED,[RFC5844]
174,Invalid Care-of Address,[RFC6275]
175,INVALID_MOBILE_NODE_GROUP_IDENTIFIER,[RFC6602]
176,REINIT_SA_WITH_HAC,[RFC6618]
177,NOT_AUTHORIZED_FOR_DELEGATED_MNP,[RFC7148]
178,REQUESTED_DMNP_IN_USE,[RFC7148]
179,CANNOT_MEET_QOS_SERVICE_REQUEST,[RFC7222]
180,CANNOT_SUPPORT_MULTIPATH_BINDING,[RFC-ietf-dmm-mag-multihoming-07]
