Value,Description,Reference
0,Binding Refresh Request,[RFC6275]
1,Home Test Init,[RFC6275]
2,Care-of Test Init,[RFC6275]
3,Home Test,[RFC6275]
4,Care-of Test,[RFC6275]
5,Binding Update,[RFC6275]
6,Binding Acknowledgement,[RFC6275]
7,Binding Error,[RFC6275]
8,Fast Binding Update,[RFC5568]
9,Fast Binding Acknowledgment,[RFC5568]
10,Fast Neighbor Advertisement (Deprecated),[RFC5568]
11,Experimental Mobility Header,[RFC5096]
12,Home Agent Switch Message,[RFC5142]
13,Heartbeat Message,[RFC5847]
14,Handover Initiate Message,[RFC5568]
15,Handover Acknowledge Message,[RFC5568]
16,Binding Revocation Message,[RFC5846]
17,Localized Routing Initiation,[RFC6705]
18,Localized Routing Acknowledgment,[RFC6705]
19,Update Notification,[RFC7077]
20,Update Notification Acknowledgement,[RFC7077]
21,Flow Binding Message,[RFC7109]
22,Subscription Query,[RFC7161]
23,Subscription Response,[RFC7161]
