Name,Resource Type,Method/Event,Reference
SET-PARAMS,Generic,Method,[RFC6787]
GET-PARAMS,Generic,Method,[RFC6787]
SPEAK,Synthesizer,Method,[RFC6787]
STOP,Synthesizer,Method,[RFC6787]
PAUSE,Synthesizer,Method,[RFC6787]
RESUME,Synthesizer,Method,[RFC6787]
BARGE-IN-OCCURRED,Synthesizer,Method,[RFC6787]
CONTROL,Synthesizer,Method,[RFC6787]
DEFINE-LEXICON,Synthesizer,Method,[RFC6787]
DEFINE-GRAMMAR,Recognizer,Method,[RFC6787]
RECOGNIZE,Recognizer,Method,[RFC6787]
INTERPRET,Recognizer,Method,[RFC6787]
GET-RESULT,Recognizer,Method,[RFC6787]
START-INPUT-TIMERS,Recognizer,Method,[RFC6787]
STOP,Recognizer,Method,[RFC6787]
START-PHRASE-ENROLLMENT,Recognizer,Method,[RFC6787]
ENROLLMENT-ROLLBACK,Recognizer,Method,[RFC6787]
END-PHRASE-ENROLLMENT,Recognizer,Method,[RFC6787]
MODIFY-PHRASE,Recognizer,Method,[RFC6787]
DELETE-PHRASE,Recognizer,Method,[RFC6787]
RECORD,Recorder,Method,[RFC6787]
STOP,Recorder,Method,[RFC6787]
START-INPUT-TIMERS,Recorder,Method,[RFC6787]
START-SESSION,Verifier,Method,[RFC6787]
END-SESSION,Verifier,Method,[RFC6787]
QUERY-VOICEPRINT,Verifier,Method,[RFC6787]
DELETE-VOICEPRINT,Verifier,Method,[RFC6787]
VERIFY,Verifier,Method,[RFC6787]
VERIFY-FROM-BUFFER,Verifier,Method,[RFC6787]
VERIFY-ROLLBACK,Verifier,Method,[RFC6787]
STOP,Verifier,Method,[RFC6787]
START-INPUT-TIMERS,Verifier,Method,[RFC6787]
GET-INTERMEDIATE-RESULT,Verifier,Method,[RFC6787]
SPEECH-MARKER,Synthesizer,Event,[RFC6787]
SPEAK-COMPLETE,Synthesizer,Event,[RFC6787]
START-OF-INPUT,Recognizer,Event,[RFC6787]
RECOGNITION-COMPLETE,Recognizer,Event,[RFC6787]
INTERPRETATION-COMPLETE,Recognizer,Event,[RFC6787]
START-OF-INPUT,Recorder,Event,[RFC6787]
RECORD-COMPLETE,Recorder,Event,[RFC6787]
VERIFICATION-COMPLETE,Verifier,Event,[RFC6787]
START-OF-INPUT,Verifier,Event,[RFC6787]
