Decimal,Type,Meaning,Reference
0,,Reserved,[RFC4398]
1,PKIX,X.509 as per PKIX,[RFC4398]
2,SPKI,SPKI certificate,[RFC4398]
3,PGP,OpenPGP packet,[RFC4398]
4,IPKIX,The URL of an X.509 data object,[RFC4398]
5,ISPKI,The URL of an SPKI certificate,[RFC4398]
6,IPGP,The URL of an OpenPGP packet,[RFC4398]
7,ACPKIX,Attribute Certificate,[RFC4398]
8,IACPKIX,The URL of an Attribute Certificate,[RFC4398]
9-252,,Unassigned,
253,URI,URI private,[RFC4398]
254,OID,OID private,[RFC4398]
255,,Reserved,[RFC4398]
256-65279,,Unassigned,
65280-65534,,Experimental,[RFC4398]
65535,,Reserved,[RFC4398]
