Element,Description,Reference
"""ORG""","Organization Name for Physical Delivery   
(example: ACME Inc)",[RFC2846]
"""OFNO""","Office Number for physical delivery       
(example: BLD2-44)",[RFC2846]
"""OFNA""","Office Name for physical delivery         
(example: Sales)",[RFC2846]
"""STR""","Street address for physical delivery      
(example: 45, Main Street)",[RFC2846]
"""ADDR""","Unformatted postal address for physical   
delivery (example: HWY 14, Km 94.5 -
Loc. Redhill)",[RFC2846]
"""ADDU""","Unique postal name for physical delivery  
(example: ACMETELEX)",[RFC2846]
"""ADDL""","Local postal attributes for physical      
delivery (example: Entrance 3, 3rd floor,
Suite 296)",[RFC2846]
"""POB""",Post Office Box for physical delivery,[RFC2846]
"""ZIP""",Postal ZIP code for physical delivery,[RFC2846]
"""CO""",Country Name for physical delivery,[RFC2846]
