Decimal,Description,References
1,id-cmc-statusInfo,[RFC2797]
2,id-cmc-identification,[RFC2797]
3,id-cmc-identityProof,[RFC2797]
4,id-cmc-dataReturn,[RFC2797]
5,id-cmc-transactionId,[RFC2797]
6,id-cmc-senderNonce,[RFC2797]
7,id-cmc-recipientNonce,[RFC2797]
8,id-cmc-addExtensions,[RFC2797]
9,id-cmc-encryptedPOP,[RFC2797]
10,id-cmc-decryptedPOP,[RFC2797]
11,id-cmc-lraPOPWitness,[RFC2797]
15,id-cmc-getCert,[RFC2797]
16,id-cmc-getCRL,[RFC2797]
17,id-cmc-revokeRequest,[RFC2797]
18,id-cmc-regInfo,[RFC2797]
19,id-cmc-responseInfo,[RFC2797]
21,id-cmc-queryPending,[RFC2797]
22,id-cmc-popLinkRandom,[RFC2797]
23,id-cmc-popLinkWitness,[RFC2797]
24,id-cmc-confirmCertAcceptance,[RFC2797]
25,id-cmc-statusInfoV2,[RFC5272]
26,id-cmc-trustedAnchors,[RFC5272]
27,id-cmc-authData,[RFC5272]
28,id-cmc-batchRequests,[RFC5272]
29,id-cmc-batchResponses,[RFC5272]
30,id-cmc-publishCert,[RFC5272]
31,id-cmc-modCertTemplate,[RFC5272]
32,id-cmc-controlProcessed,[RFC5272]
33,id-cmc-popLinkWitnessV2,[RFC5272]
34,id-cmc-identityProofV2,[RFC5272]
35,id-cmc-raIdentityWitness,[RFC6402]
36,id-cmc-changeSubjectName,[RFC6402]
37,id-cmc-responseBody,[RFC6402]
99,id-cmc-glaRR,[RFC5275]
