Decimal,Description,References
1,id-pkix1-explicit-88,[RFC2459]
2,id-pkix1-implicit-88,[RFC2459]
3,id-pkix1-explicit-93,[RFC2459]
4,id-pkix1-implicit-93,[RFC2459]
5,id-mod-crmf,[RFC2511]
6,id-mod-cmc,[RFC2797]
7,id-mod-kea-profile-88,[RFC2528]
8,id-mod-kea-profile-93,[RFC2528]
9,id-mod-cmp,[RFC2510]
10,id-mod-qualified-cert-88,[RFC3039]
11,id-mod-qualified-cert-93,[RFC3039]
12,id-mod-attribute-cert,[RFC3281]
13,id-mod-tsp,[RFC3161]
14,id-mod-ocsp,[RFC3029]
15,id-mod-dvcs,[RFC3029]
16,id-mod-cmp2000,[RFC4210]
17,id-mod-pkix1-algorithms,[RFC3279]
18,id-mod-pkix1-explicit,[RFC3280]
19,id-mod-pkix1-implicit,[RFC3280]
20,id-mod-user-group,[Reserved and Obsolete]
21,id-mod-scvp,[RFC5055]
22,id-mod-logotype,[RFC3709]
23,id-mod-cmc2002,[RFC5272]
24,id-mod-wlan-extns,[RFC3770]
25,id-mod-proxy-cert-extns,[RFC3820]
26,id-mod-ac-policies,[RFC4476]
27,id-mod-warranty-extn,[RFC4059]
28,id-mod-perm-id-88,[RFC4043]
29,id-mod-perm-id-93,[RFC4043]
30,id-mod-ip-addr-and-as-ident,[RFC3779]
31,id-mod-qualified-cert,[RFC3739]
32,id-mod-crmf2003,[Reserved and Obsolete]
33,id-mod-pkix1-rsa-pkalgs,[RFC4055]
34,id-mod-cert-bundle,[RFC4306]
35,id-mod-qualified-cert-97,[RFC3739]
36,id-mod-crmf2005,[RFC4210]
37,id-mod-wlan-extns2005,[RFC4334]
38,id-mod-sim2005,[RFC4683]
39,id-mod-dns-srv-name-88,[RFC4985]
40,id-mod-dns-srv-name-93,[RFC4985]
41,id-mod-cmsContentConstr-88,[RFC6010]
42,id-mod-cmsContentConstr-93,[RFC6010]
43,id-mod-pkixCommon,[Reserved and Obsolete]
44,id-mod-pkixOtherCerts,[RFC5697]
45,id-mod-pkix1-algorithms2008,[RFC5480]
46,id-mod-clearanceConstraints,[RFC5913]
47,id-mod-attribute-cert-02,[RFC5912]
48,id-mod-ocsp-02,[RFC5912]
49,id-mod-v1AttrCert-02,[RFC5912]
50,id-mod-cmp2000-02,[RFC5912]
51,id-mod-pkix1-explicit-02,[RFC5912]
52,id-mod-scvp-02,[RFC5912]
53,id-mod-cmc2002-02,[RFC5912]
54,id-mod-pkix1-rsa-pkalgs-02,[RFC5912]
55,id-mod-crmf2005-02,[RFC5912]
56,id-mod-pkix1-algorithms2008-02,[RFC5912]
57,id-mod-pkixCommon-02,[RFC5912]
58,id-mod-algorithmInformation-02,[RFC5912]
59,id-mod-pkix1-implicit-02,[RFC5912]
60,id-mod-pkix1-x400address-02,[RFC5912]
61,id-mod-attribute-cert-v2,[RFC5755]
62,id-mod-sip-domain-extns2007,[RFC5924]
63,id-mod-cms-otherRIs-2009-88,[RFC5940]
64,id-mod-cms-otherRIs-2009-93,[RFC5940]
65,id-mod-ecprivatekey,[RFC5915]
66,id-mod-ocsp-agility-2009-93,[RFC6277]
67,id-mod-ocsp-agility-2009-88,[RFC6277]
68,id-mod-logotype-certimage,[RFC6170]
69,id-mod-pkcs10-2009,[RFC5912]
70,id-mod-dns-resource-record,[RFC7958]
71,id-mod-send-cert-extns,[RFC6494]
72,id-mod-ip-addr-and-as-ident-2,[RFC6268]
73,id-mod-wlan-extns-2,[RFC6268]
74,id-mod-hmac,[RFC6268]
75,id-mod-enrollMsgSyntax-2011-88,[RFC6402][RFC Errata 3860]
76,id-mod-enrollMsgSyntax-2011-08,[RFC6402]
77,id-mod-pubKeySMIMECaps-88,[RFC6664]
78,id-mod-pubKeySMIMECaps-08,[RFC6664]
79,id-mod-dhSign-2012-88,[RFC6955]
80,id-mod-dhSign-2012-08,[RFC6955]
81,id-mod-ocsp-2013-88,[RFC6960]
82,id-mod-ocsp-2013-08,[RFC6960]
83,id-mod-TEST-certPolicies,[RFC7229]
84,id-mod-bgpsec-eku,[RFC8209]
85,id-mod-nai-realm-08,[RFC7585]
86,id-mod-tls-feature-2015,[RFC7633]
87,id-mod-EST-Alt-Challenge,[RFC7894]
88,id-mod-mudURLExtn2016,[RFC8520]
89,id-mod-tn-module,[RFC8226]
90,id-mod-ip-addr-and-as-ident-v2,[RFC8360]
91,id-mod-ip-addr-and-as-ident-2v2,[RFC8360]
92,id-mod-lamps-eai-addresses-2016,[RFC8398]
93,id-mod-safecurves-pkix,[RFC8410]
94,id-mod-pkix1-shakes-2019,[RFC8692]
95,id-mod-delegated-credential-extn,[draft-ietf-tls-subcerts]
96,id-mod-MASAURLExtn2016,[RFC8995]
97,id-mod-anima-acpnodename-2020,[RFC8994]
98,id-mod-est-2019,[RFC8951]
99,id-mod-cmp2021-88,[draft-ietf-lamps-cmp-updates-10]
100,id-mod-cmp2021-02,[draft-ietf-lamps-cmp-updates-10]
101,id-mod-eJWTClaimConstraints-2021,[RFC-ietf-stir-enhance-rfc8226-04]
102,id-mod-public-notary-v2,[RFC-ietf-trans-rfc6962-bis-41]
