Decimal,Description,References
0,id-ct-anyContentType,[RFC6010]
1,id-ct-receipt,[RFC2634]
2,id-ct-authData,[RFC2630]
3,id-ct-publishCert,[Reserved and Obsolete]
4,id-ct-TSTInfo,[RFC3161]
5,id-ct-TDTInfo,[Reserved and Obsolete]
6,id-ct-contentInfo,[RFC2630]
7,id-ct-DVCSRequestData,[RFC3029]
8,id-ct-DVCSResponseData,[RFC3029]
9,id-ct-compressedData,[RFC3274]
10,id-ct-scvp-certValRequest,[RFC5055]
11,id-ct-scvp-certValResponse,[RFC5055]
12,id-ct-scvp-valPolRequest,[RFC5055]
13,id-ct-scvp-valPolResponse,[RFC5055]
14,id-ct-attrCertEncAttrs,[RFC5755]
15,id-ct-TSReq,[Reserved and Obsolete]
16,id-ct-firmwarePackage,[RFC4108]
17,id-ct-firmwareLoadReceipt,[RFC4108]
18,id-ct-firmwareLoadError,[RFC4108]
19,id-ct-contentCollection,[RFC4073]
20,id-ct-contentWithAttrs,[RFC4073]
21,id-ct-encKeyWithID,[RFC4211]
22,id-ct-encPEPSI,[Reserved and Obsolete]
23,id-ct-authEnvelopedData,[RFC5083]
24,id-ct-routeOriginAuthz,[RFC6482]
25,id-ct-KP-sKeyPackage,[RFC6031]
26,id-ct-rpkiManifest,[RFC6486]
27,id-ct-asciiTextWithCRLF,[RFC5485]
28,id-ct-xml,[RFC5485]
29,id-ct-pdf,[RFC5485]
30,id-ct-postscript,[RFC5485]
31,id-ct-timestampedData,[RFC5544]
32,id-ct-ASAdjacencyAttest,[Reserved and Obsolete]
33,id-ct-rpkiTrustAnchor,[Reserved and Obsolete]
34,id-ct-trustAnchorList,[RFC5914]
35,id-ct-rpkiGhostbusters,[RFC6493]
36,id-ct-resourceTaggedAttest,[Reserved and Obsolete]
37,id-ct-utf8TextWithCRLF,[RFC8358]
38,id-ct-htmlWithCRLF,[RFC8358]
39,id-ct-epub,[RFC8358]
40,id-ct-animaJSONVoucher,[RFC8366]
41,id-ct-mudtype,[RFC8520]
42,id-ct-sztpConveyedInfoXML,[RFC8572]
43,id-ct-sztpConveyedInfoJSON,[RFC8572]
