Decimal,Description,References
1,id-kp-serverAuth,[RFC2459]
2,id-kp-clientAuth,[RFC2459]
3,id-kp-codeSigning,[RFC2459]
4,id-kp-emailProtection,[RFC2459]
5,id-kp-ipsecEndSystem,[Reserved and Obsolete]
6,id-kp-ipsecTunnel,[Reserved and Obsolete]
7,id-kp-ipsecUser,[Reserved and Obsolete]
8,id-kp-timeStamping,[RFC2459]
9,id-kp-OCSPSigning,[RFC2560]
10,id-kp-dvcs,[RFC3029]
11,id-kp-sbgpCertAAServerAuth,[Reserved and Obsolete]
12,id-kp-scvp-responder,[Reserved and Obsolete]
13,id-kp-eapOverPPP,[RFC4334]
14,id-kp-eapOverLAN,[RFC4334]
15,id-kp-scvpServer,[RFC5055]
16,id-kp-scvpClient,[RFC5055]
17,id-kp-ipsecIKE,[RFC4945]
18,id-kp-capwapAC,[RFC5415]
19,id-kp-capwapWTP,[RFC5415]
20,id-kp-sipDomain,[RFC5924]
21,id-kp-secureShellClient,[RFC6187]
22,id-kp-secureShellServer,[RFC6187]
23,id-kp-sendRouter,[RFC6494]
24,id-kp-sendProxiedRouter,[RFC6494]
25,id-kp-sendOwner,[RFC6494]
26,id-kp-sendProxiedOwner,[RFC6494]
27,id-kp-cmcCA,[RFC6402]
28,id-kp-cmcRA,[RFC6402]
29,id-kp-cmcArchive,[RFC6402]
30,id-kp-bgpsec-router,[RFC8209]
31,id-kp-BrandIndicatorforMessageIdentification,[draft-chuang-bimi-certificate]
32,id-kp-cmKGA,[draft-ietf-lamps-cmp-updates]
33,id-kp-rpcTLSClient,[RFC-ietf-nfsv4-rpc-tls-10]
34,id-kp-rpcTLSServer,[RFC-ietf-nfsv4-rpc-tls-10]
35,id-kp-bundleSecurity,[RFC-ietf-dtn-tcpclv4-28]
