Decimal,Description,References
1,id-pskc-manufacturer,[RFC6031]
2,id-pskc-serialNo,[RFC6031]
3,id-pskc-model,[RFC6031]
4,id-pskc-issueNo,[RFC6031]
5,id-pskc-deviceBinding,[RFC6031]
6,id-pskc-deviceStartDate,[RFC6031]
7,id-pskc-deviceExpiryDate,[RFC6031]
8,id-pskc-moduleId,[RFC6031]
9,id-pskc-keyId,[RFC6031]
10,id-pskc-algorithm,[RFC6031]
11,id-pskc-issuer,[RFC6031]
12,id-pskc-keyProfileId,[RFC6031]
13,id-pskc-keyReference,[RFC6031]
14,id-pskc-friendlyName,[RFC6031]
15,id-pskc-algorithmParams,[RFC6031]
16,id-pskc-counter,[RFC6031]
17,id-pskc-time,[RFC6031]
18,id-pskc-timeInterval,[RFC6031]
19,id-pskc-timeDrift,[RFC6031]
20,id-pskc-valueMAC,[RFC6031]
21,id-pskc-keyStartDate,[RFC6031]
22,id-pskc-keyExpiryDate,[RFC6031]
23,id-pskc-noOfTransactions,[RFC6031]
24,id-pskc-keyUsages,[RFC6031]
25,id-pskc-pinPolicy,[RFC6031]
26,id-pskc-deviceUserId,[RFC6031]
27,id-pskc-keyUserId,[RFC6031]
