Decimal,Description,References
0,Module identifiers,[RFC7299]
1,PKIX certificate extensions,[RFC7299]
2,Policy qualifier types,[RFC7299]
3,Extended key purpose identifiers,[RFC7299]
4,CMP information types,[RFC7299]
5,CRMF registration,[RFC7299]
6,Algorithms,[RFC7299]
7,CMC controls,[RFC7299]
8,Other name forms,[RFC7299]
9,Personal data attribute,[RFC7299]
10,Attribute certificate attributes,[RFC7299]
11,Qualified certificate statements,[RFC7299]
12,CMC content types,[RFC7299]
13,OIDs for TESTING ONLY,[RFC7299]
14,Certificate policies,[RFC7299]
15,CMC error types,[RFC7299]
16,Revocation information types,[RFC7299]
17,SCVP check type,[RFC7299]
18,SCVP want back types,[RFC7299]
19,SCVP validation policies,[RFC7299]
20,Other logotype identifiers,[RFC7299]
21,Proxy certificate policy languages,[RFC7299]
22,Matching rules,[RFC7299]
23,Subject key identifier semantics,[RFC7299]
48,Access descriptors,[RFC7299]
