Decimal,Description,References
1,id-pe-authorityInfoAccess,[RFC2459]
2,id-pe-biometricInfo,[RFC3039]
3,id-pe-qcStatements,[RFC3039]
4,id-pe-ac-auditIdentity,[RFC3281]
5,id-pe-ac-targeting,[Reserved and Obsolete]
6,id-pe-aaControls,[RFC3281]
7,id-pe-ipAddrBlocks,[RFC3779]
8,id-pe-autonomousSysIds,[RFC3779]
9,id-pe-sbgp-routerIdentifier,[Reserved and Obsolete]
10,id-pe-ac-proxying,[RFC3281]
11,id-pe-subjectInfoAccess,[RFC3280]
12,id-pe-logotype,[RFC3709]
13,id-pe-wlanSSID,[RFC4334]
14,id-pe-proxyCertInfo,[RFC3820]
15,id-pe-acPolicies,[RFC4476]
16,id-pe-warranty,[RFC4059]
17,id-pe-sim,[Reserved and Obsolete]
18,id-pe-cmsContentConstraints,[RFC6010]
19,id-pe-otherCerts,[RFC5697]
20,id-pe-wrappedApexContinKey,[RFC5934]
21,id-pe-clearanceConstraints,[RFC5913]
22,id-pe-skiSemantics,[Reserved and Obsolete]
23,id-pe-nsa,[RFC7169]
24,id-pe-tlsfeature,[RFC7633]
25,id-pe-mud-url,[RFC8520]
26,id-pe-TNAuthList,[RFC8226]
27,id-pe-JWTClaimConstraints,[RFC8226]
28,id-pe-ipAddrBlocks-v2,[RFC8360]
29,id-pe-autonomousSysIds-v2,[RFC8360]
30,id-pe-mudsigner,[RFC8520]
31,id-pe-acmeIdentifier,[draft-ietf-acme-tls-alpn]
32,"id-pe-masa-url 
          (TEMPORARY - registered 2019-02-20, expires 2020-02-20)",[draft-ietf-anima-bootstrapping-keyinfra]
