Decimal,Description,References
1,id-skd-glUseKEK,[RFC5275]
2,id-skd-glDelete,[RFC5275]
3,id-skd-glDeleteMember,[RFC5275]
4,id-skd-glAddMember,[RFC5275]
5,id-skd-glRekey,[RFC5275]
6,id-skd-glAddOwner,[RFC5275]
7,id-skd-glRemoveOwner,[RFC5275]
8,id-skd-glKeyCompromise,[RFC5275]
9,id-skd-glkRefresh,[RFC5275]
10,id-skd-glFailInfo,[Reserved and Obsolete]
11,id-skd-glaQueryRequest,[RFC5275]
12,id-skd-glaQueryResponse,[RFC5275]
13,id-skd-glProvideCert,[RFC5275]
14,id-skd-glManageCert,[RFC5275]
15,id-skd-glKey,[RFC5275]
