Decimal,Description,References
1,id-it-caProtEncCert,[RFC2510]
2,id-it-signKeyPairTypes,[RFC2510]
3,id-it-encKeyPairTypes,[RFC2510]
4,id-it-preferredSymmAlg,[RFC2510]
5,id-it-caKeyUpdateInfo,[RFC2510]
6,id-it-currentCRL,[RFC2510]
7,id-it-unsupportedOIDs,[RFC4210]
8,id-it-subscriptionRequest,[Reserved and Obsolete]
9,id-it-subscriptionResponse,[Reserved and Obsolete]
10,id-it-keyPairParamReq,[RFC4210]
11,id-it-keyPairParamRep,[RFC4210]
12,id-it-revPassphrase,[RFC4210]
13,id-it-implicitConfirm,[RFC4210]
14,id-it-confirmWaitTime,[RFC4210]
15,id-it-origPKIMessage,[RFC4210]
16,id-it-suppLangTags,[RFC4210]
17,id-it-caCerts,[RFC-ietf-lamps-cmp-updates-23]
18,id-it-rootCaKeyUpdate,[RFC-ietf-lamps-cmp-updates-23]
19,id-it-certReqTemplate,[RFC-ietf-lamps-cmp-updates-23]
20,id-it-rootCaCert,[RFC-ietf-lamps-cmp-updates-23]
21,id-it-certProfile,[RFC-ietf-lamps-cmp-updates-23]
22,id-it-crlStatusList,[RFC-ietf-lamps-cmp-updates-23]
23,id-it-crls,[RFC-ietf-lamps-cmp-updates-23]
