Decimal,Description,References
1,id-swb-pkc-best-cert-path,[RFC5055]
2,id-swb-pkc-revocation-info,[RFC5055]
3,id-swb-pkc-cert-status,[Reserved and Obsolete]
4,id-swb-pkc-public-key-info,[RFC5055]
5,id-swb-aa-cert-path,[RFC5055]
6,id-swb-aa-revocation-info,[RFC5055]
7,id-swb-ac-revocation-info,[RFC5055]
8,id-swb-ac-cert-status,[Reserved and Obsolete]
9,id-swb-relayed-responses,[RFC5055]
10,id-swb-pkc-cert,[RFC5055]
11,id-swb-ac-cert,[RFC5055]
12,id-swb-pkc-all-cert-paths,[RFC5055]
13,id-swb-pkc-ee-revocation-info,[RFC5055]
14,id-swb-pkc-CAs-revocation-info,[RFC5055]
15,id-swb-partial-cert-path,[RFC5055]
16,id-swb-ers-pkc-cert,[RFC5055]
17,id-swb-ers-best-cert-path,[RFC5055]
18,id-swb-ers-partial-cert-path,[RFC5055]
19,id-swb-ers-revocation-info,[RFC5055]
20,id-swb-ers-all,[RFC5055]
