Decimal,Description,References
1,id-aa-receiptRequest,[RFC2634]
2,id-aa-securityLabel,[RFC2634]
3,id-aa-mlExpandHistory,[RFC2634]
4,id-aa-contentHint,[RFC2634]
5,id-aa-msgSigDigest,[RFC2634]
6,id-aa-encapContentType,[Reserved and Obsolete]
7,id-aa-contentIdentifier,[RFC2634]
8,id-aa-macValue,[Reserved and Obsolete]
9,id-aa-equivalentLabels,[RFC2634]
10,id-aa-contentReference,[RFC2634]
11,id-aa-encrypKeyPref,[RFC2633]
12,id-aa-signingCertificate,[RFC2634]
13,id-aa-smimeEncryptCerts,[Reserved and Obsolete]
14,id-aa-signatureTimeStampToken,[RFC3126]
15,id-aa-ets-sigPolicyId,[RFC3126]
16,id-aa-ets-commitmentType,[RFC3126]
17,id-aa-ets-signerLocation,[RFC3126]
18,id-aa-ets-signerAttr,[RFC3126]
19,id-aa-ets-otherSigCert,[RFC3126]
20,id-aa-ets-contentTimestamp,[RFC3126]
21,id-aa-ets-CertificateRefs,[RFC3126]
22,id-aa-ets-RevocationRefs,[RFC3126]
23,id-aa-ets-certValues,[RFC3126]
24,id-aa-ets-revocationValues,[RFC3126]
25,id-aa-ets-escTimeStamp,[RFC3126]
26,id-aa-ets-certCRLTimestamp,[RFC3126]
27,id-aa-ets-archiveTimeStamp,[RFC3126]
28,id-aa-signatureType,"[RFC Errata 
          3757]"
29,id-aa-dvcs-dvc,[RFC3029]
30,id-aa-CEKReference,[RFC3185]
31,id-aa-CEKMaxDecrypts,[RFC3185]
32,id-aa-KEKDerivationAlg,[RFC3185]
33,id-aa-intendedRecipients,[Reserved and Obsolete]
34,id-aa-cmc-unsignedData,[RFC5272]
35,id-aa-firmwarePackageID,[RFC4108]
36,id-aa-targetHardwareIDs,[RFC4108]
37,id-aa-decryptKeyID,[RFC4108]
38,id-aa-implCryptoAlgs,[RFC4108]
39,id-aa-wrappedFirmwareKey,[RFC4108]
40,id-aa-communityIdentifiers,[RFC4108]
41,id-aa-fwPkgMessageDigest,[RFC4108]
42,id-aa-firmwarePackageInfo,[RFC4108]
43,id-aa-implCompressAlgs,[RFC4108]
44,id-aa-ets-attrCertificateRefs,[RFC5126]
45,id-aa-ets-attrRevocationRefs,[RFC5126]
46,id-aa-binarySigningTime,[RFC4049]
47,id-aa-signingCertificateV2,[RFC5035]
48,id-aa-ets-archiveTimeStampV2,[RFC5126]
49,id-aa-er-internal,[RFC4998]
50,id-aa-er-external,[RFC4998]
51,id-aa-multipleSignatures,[RFC5752]
52,id-aa-cmsAlgorithmProtect,[RFC6211]
53,id-aa-setKeyInformation,[draft-herzog-setkey]
54,id-aa-asymmDecryptKeyID,[RFC7030]
55,id-aa-secureHeaderFieldsIdentifier,[RFC7508]
56,id-aa-otpChallenge,[RFC7894]
57,id-aa-revocationChallenge,[RFC7894]
58,id-aa-estIdentityLinking,[RFC7894]
