Address(es),Description,References,Change Controller,Date Registered,Last Reviewed
224.0.1.0,VMTP Managers Group,[RFC1045][Dave_Cheriton],,,
224.0.1.1,NTP Network Time Protocol,[RFC1119][RFC5905][David_Mills],,,
224.0.1.2,SGI-Dogfight,[Andrew_Cherenson],,,
224.0.1.3,Rwhod,[Steve_Deering_2],,,
224.0.1.4,VNP,[Dave_Cheriton],,,
224.0.1.5,Artificial Horizons - Aviator,[Bruce_Factor],,,
224.0.1.6,NSS - Name Service Server,[Bill_Schilit],,,
224.0.1.7,AUDIONEWS - Audio News Multicast,[Martin_Forssen],,,
224.0.1.8,SUN NIS+ Information Service,[Chuck_McManis],,,
224.0.1.9,MTP Multicast Transport Protocol,[Susie_Armstrong],,,
224.0.1.10,IETF-1-LOW-AUDIO,[Steve_Casner],,,
224.0.1.11,IETF-1-AUDIO,[Steve_Casner],,,
224.0.1.12,IETF-1-VIDEO,[Steve_Casner],,,
224.0.1.13,IETF-2-LOW-AUDIO,[Steve_Casner],,,
224.0.1.14,IETF-2-AUDIO,[Steve_Casner],,,
224.0.1.15,IETF-2-VIDEO,[Steve_Casner],,,
224.0.1.16,MUSIC-SERVICE,,,,
224.0.1.17,SEANET-TELEMETRY,,,,
224.0.1.18,SEANET-IMAGE,,,,
224.0.1.19,MLOADD,[Bob_Braden],,1996-04-01,
224.0.1.20,any private experiment,[Jon_Postel],,,
224.0.1.21,DVMRP on MOSPF,[[John Moy]],,,
224.0.1.22,SVRLOC,[John_Veizades],,1995-05-01,
224.0.1.23,XINGTV,[Howard_Gordon],,,
224.0.1.24,microsoft-ds,[<arnoldm&microsoft.com>],,,
224.0.1.25,nbc-pro,[<bloomer&birch.crd.ge.com>],,,
224.0.1.26,nbc-pfn,[<bloomer&birch.crd.ge.com>],,,
224.0.1.27,lmsc-calren-1,[Yea_Uang],,1994-11-01,
224.0.1.28,lmsc-calren-2,[Yea_Uang],,1994-11-01,
224.0.1.29,lmsc-calren-3,[Yea_Uang],,1994-11-01,
224.0.1.30,lmsc-calren-4,[Yea_Uang],,1994-11-01,
224.0.1.31,ampr-info,[Rob_Janssen],,1995-01-01,
224.0.1.32,mtrace,[Steve_Casner_2],,1995-01-01,
224.0.1.33,RSVP-encap-1,[Bob_Braden],,1996-04-01,
224.0.1.34,RSVP-encap-2,[Bob_Braden],,1996-04-01,
224.0.1.35,SVRLOC-DA,[John_Veizades],,1995-05-01,
224.0.1.36,rln-server,[Brian_Kean],,1995-08-01,
224.0.1.37,proshare-mc,[Mark_Lewis],,1995-10-01,
224.0.1.38,Unassigned,,,,
224.0.1.39,cisco-rp-announce,[Dino_Farinacci],,1996-03-01,
224.0.1.40,cisco-rp-discovery,[Dino_Farinacci],,1996-03-01,
224.0.1.41,gatekeeper,[Jim_Toga],,1996-05-01,
224.0.1.42,iberiagames,[Jose_Luis_Marocho],,1996-07-01,
224.0.1.43,nwn-discovery,[Arnoud_Zwemmer],,1996-11-01,
224.0.1.44,nwn-adaptor,[Arnoud_Zwemmer],,1996-11-01,
224.0.1.45,isma-1,[Stephen_Dunne],,1997-01-01,
224.0.1.46,isma-2,[Stephen_Dunne],,1997-01-01,
224.0.1.47,telerate,[Wenjie_Peng],,1997-01-01,
224.0.1.48,ciena,[Mike_Rodbell],,1997-01-01,
224.0.1.49,dcap-servers,[RFC2114],,,
224.0.1.50,dcap-clients,[RFC2114],,,
224.0.1.51,mcntp-directory,[Heiko_Rupp],,1997-01-01,
224.0.1.52,mbone-vcr-directory,[Wieland_Holdfelder],,1997-01-01,
224.0.1.53,heartbeat,[Louis_Mamakos],,1997-03-01,
224.0.1.54,sun-mc-grp,[Michael_DeMoney],,1997-04-01,
