Code Value,Name,Reference
8388608,WIMAX-HRPD-SFF Request/Answer,[3GPP2 X.S0058-0 v1.0][Avi_Lior]
8388609,WiMAX-Diameter-EAP-Request/Answer (WDER/WDEA) WDE,[WiMAX Release 1.5][Avi_Lior]
8388610,WiMAX-Change-of-Authorization-Request/Answer (WCAR/WCAA) WCA,[WiMAX Release 1.5][Avi_Lior]
8388611,WiMAX-Reauthentication-Request/Answer (WRAR/WRAA) WRA,[WiMAX Release 1.5][Avi_Lior]
8388612,WiMAX-Session-Termination-Request/Answer (WSTR/WSTA) WST,[WiMAX Release 1.5][Avi_Lior]
8388613,WiMAX-Abort-Session-Request/Answer (WASR/WASA) WAS,[WiMAX Release 1.5][Avi_Lior]
8388614,WiMAX-Home-Agent-IPv4-Request/Answer (WHA4R/WHA4A) WHA4,[WiMAX Release 1.5][Avi_Lior]
8388615,WiMAX-Home-Agent-IPv6-Request/Answer (WHA6R/WHA6A) WHA6,[WiMAX Release 1.5][Avi_Lior]
8388616,WiMAX-DHCP-Request/Answer (WDHCPR/WDHCPA) WDHCP,[WiMAX Release 1.5][Avi_Lior]
8388617,WiMAX-LAA-Request/Answer (WLAAR/WLAA) WLAA,[WiMAX Release 1.5][Avi_Lior]
8388618,WiMAX-Location-Accounting-Request/Answer (WLACR/WLACA) WLAC,[WiMAX Release 1.5][Avi_Lior]
8388619,WiMAX-Location-Measurement-Query-Request/Answer (WLMQR/WLMQA) WLMQ,[WiMAX Release 1.5][Avi_Lior]
8388620,3GPP-Provide-Location-Request/Answer (PLR/PLA),[3GPP TS 29.172][Kimmo_Kymalainen]
8388621,3GPP-Location-Report-Request/Answer (LRR/LRA),[3GPP TS 29.172][Kimmo_Kymalainen]
8388622,3GPP-LCS-Routing-Info-Request/Answer (RIR/RIA),[3GPP TS 29.173][Kimmo_Kymalainen]
8388623,Notif-Request/Answer (NFR/NFA),[Tomas_Menzl]
8388624,Msg-Interface-Request/Answer (MIFR/MIFA),[Tomas_Menzl]
8388625,Mobile-Application-Request/Answer (MAPR/MAPA),[Tomas_Menzl]
8388626,Update Location Request/Answer (ULR / ULA),[3GPP2 publication X.S0057][Avi_Lior]
8388627,Cancel Location Request/Answer (CLR CLA),[3GPP2 publication X.S0057][Avi_Lior]
8388628,Juniper-Sync-Event (JSE),[Aleksey_Romanov]
8388629,Juniper-Session-Discovery (JSD),[Aleksey_Romanov]
8388630,Query Profile Request Answer (QPR/QPA),[3GPP2 publication X.S0057A E-UTRAN eHRPD7][Avi_Lior]
8388631,Subscription Information Application (SIR/SIA),[Lars_Anglert]
8388632,Distributed Charging Request/Diameter Charging Answer (DCR/DCA),[Lars_Anglert]
8388633,Ericsson Spending Limit Request/Answer (SLR/SLA),[Lars_Anglert]
8388634,Ericsson Spending Status Notification Request/Answer (SNR/SNA),[Lars_Anglert]
8388635,Spending-Limit-Request/Answer (SLR/SLA),[3GPP TS 29.219][Kimmo_Kymalainen]
8388636,Spending-Status-Notification-Request/Answer (SNR/SNA),[3GPP TS 29.219][Kimmo_Kymalainen]
8388637,TDF-Session-Request/Answer (TSR/TSA),[3GPP TS 29.212][Kimmo_Kymalainen]
8388638,3GPP-Update-VCSG-Location-Request/Answer (UVR/UVA),[3GPP TS 29.272][Kimmo_Kymalainen]
8388639,Device-Action-Request/Answer (DAR/DAA),[3GPP TS 29.368][Kimmo_Kymalainen]
8388640,Device-Notification-Request/Answer (DNR/DNA),[3GPP TS 29.368][Kimmo_Kymalainen]
8388641,Subscriber-Information-Request/Answer (SIR/SIA),[3GPP TS 29.336][Kimmo_Kymalainen]
8388642,Cancel-VCSG-Location-Request/Answer (CVR/CVA),[3GPP TS 29.272][Kimmo_Kymalainen]
8388643,Device-Trigger-Request/Answer (DTR/DTA),[3GPP TS 29.337][Kimmo_Kymalainen]
8388644,Delivery-Report-Request/Answer (DRR/DRA),[3GPP TS 29.337][Kimmo_Kymalainen]
8388645,MO-Forward-Short-Message Request/Answer (OFR/OFA),[3GPP TS 29.338][Kimmo_Kymalainen]
8388646,MT-Forward-Short-Message Request/Answer (TFR/TFA),[3GPP TS 29.338][Kimmo_Kymalainen]
8388647,Send-Routing-Info-for-SM-Request/Answer (SRR/SRA),[3GPP TS 29.338][Kimmo_Kymalainen]
8388648,Alert-Service-Centre-Request/Answer (ALR/ALA),[3GPP TS 29.338][Kimmo_Kymalainen]
8388649,Report-SM-Delivery-Status-Request/Answer (RDR/RDA),[3GPP TS 29.338][Kimmo_Kymalainen]
8388650,NSN Cancel-LocationMS-Request/Answer (CLR/CLA),[Hannes_Tschofenig]
8388651,NSN User-DataMS-Request/Answer (UDR/UDA),[Hannes_Tschofenig]
8388652,NSN Profile-UpdateMS-Request/Answer (PUR/PUA),[Hannes_Tschofenig]
8388653,NSN Subscribe-NotificationsMS-Request/Answer (SNR/SNA),[Hannes_Tschofenig]
8388654,NSN Push-NotificationMS-Request/Answer (PNR/PNA),[Hannes_Tschofenig]
8388655,Get Gateway Request/Answer (GGR/GGA),[Steve_Donovan]
8388656,Trigger-Establishment-Request/Answer (TER/TEA),[3GPP TS 29.215][Kimmo_Kymalainen]
8388657,Ericsson Binding-Data-Request/Answer (BDR/BDA),[Klaus_Turina]
8388658,3GPP2 Subscriber-Information-Request/Answer (SIR/SIA),[3GPP2 X.S0068][Jun_Wang]
8388659,Verizon Session Data Recovery Request/Answer (SDR/SDA),[Niranjan_Avula]
8388660,Nokia Core Service Request/Answer (CSR/CSA),[Timo_Perala]
8388661,Nokia Extended Command Request/Answer (ECR/ECA),[Timo_Perala]
8388662,GCS-Action-Request/Answer (GAR/GAA),[3GPP TS 29.468][Kimmo_Kymalainen]
8388663,GCS-Notification-Request/Answer (GNR/GNA),[3GPP TS 29.468][Kimmo_Kymalainen]
8388664,ProSe-Subscriber-Information-Request/Answer (PIR/PIA),[3GPP TS 29.344][Kimmo_Kymalainen]
8388665,Update-ProSe-Subscriber-Data-Request/Answer (UPR/UPA),[3GPP TS 29.344][Kimmo_Kymalainen]
8388666,ProSe-Notify-Request/Answer (PNR/PNA),[3GPP TS 29.344][Kimmo_Kymalainen]
8388667,Reset-Request/Answer (RSR/RSA),[3GPP TS 29.344][Kimmo_Kymalainen]
8388668,ProSe-Authorization-Request/Answer (PAR/PAA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388669,ProSe-Discovery-Request/Answer (PDR/PDA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388670,ProSe-Match-Request/Answer (PMR/PMA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388671,ProSe-Match-Report-Info-Request/Answer (PIR/PIA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388672,ProSe-Proximity-Request/Answer (PRR/PRA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388673,ProSe-Location-Update-Request (PLR/PLA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388674,ProSe-Alert-Request/Answer (ALR/ALA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388675,ProSe-Cancellation-Request/Answer (RPR/RPA),[3GPP TS 29.345][Kimmo_Kymalainen]
8388676,ProXimity-Action-Request/Answer (PXR/PXA),[3GPP TS 29.343][Kimmo_Kymalainen]
8388677,Rivada Xd DSC-Registration-Request/Answer (DDRR/DDRA),[Vincent_D_Onofrio]
8388678,Rivada Xd Heart-Beat-Request/Answer (DHBR/DHBA),[Vincent_D_Onofrio]
8388679,Rivada Xd Cell-Info-Transfer-Request/Answer (DCTR/DCTA),[Vincent_D_Onofrio]
8388680,Rivada Xd Cell-Info-Notification-Request/Answer (DCNR/DCNA),[Vincent_D_Onofrio]
8388681,Rivada Xd Cell-Info-Modification-Request/Answer (DIMR/DIMA),[Vincent_D_Onofrio]
8388682,Rivada Xd Cell-Info-Modification-Notification-Request/Answer (DINR/DINA),[Vincent_D_Onofrio]
8388683,Rivada Xd Resource-Allocation-Request/Answer (DRAR/DRAA),[Vincent_D_Onofrio]
8388684,Rivada Xd Resource-Allocation-Notification-Request/Answer (DANR/DANA),[Vincent_D_Onofrio]
8388685,Rivada Xd Resource-Modification-Request/Answer (DRMR/DRMA),[Vincent_D_Onofrio]
8388686,Rivada Xd Resource-Modification-Notification-Request/Answer (DMNR/DMNA),[Vincent_D_Onofrio]
8388687,Rivada Xd Resource-Hold-Request/Answer (DRHR/DRHA),[Vincent_D_Onofrio]
8388688,Rivada Xd Resource-Hold-Notification-Request/Answer (DHNR/DHNA),[Vincent_D_Onofrio]
8388689,Rivada Xd Resource-Resume-Request/Answer (DRSR/DRSA),[Vincent_D_Onofrio]
8388690,Rivada Xd Resource-Resume-Notification-Request/Answer (DSNR/DSNA),[Vincent_D_Onofrio]
8388691,Rivada Xd Resource-Usage-Update-Request/Answer (DRUR/DRUA),[Vincent_D_Onofrio]
8388692,Rivada Xd Resource-Usage-Notification-Request/Answer (DUNR/DUNA),[Vincent_D_Onofrio]
8388693,Rivada Xd Resource-Release-Request/Answer (DRRR/DRRA),[Vincent_D_Onofrio]
8388694,Rivada Xd Resource-Release-Notification-Request/Answer (DRNR/DRNA),[Vincent_D_Onofrio]
8388695,Rivada Xm Resource-Allocation-Request/Answer (MRAR/MRAA),[Vincent_D_Onofrio]
8388696,Rivada Xm Resource-Hold-Request/Answer (MRHR/MRHA),[Vincent_D_Onofrio]
8388697,Rivada Xm Resource-Release-Request/Answer (MRRR/MRRA),[Vincent_D_Onofrio]
8388698,Rivada Xm Resource-Modify-Request/Answer (MRMR/MRMA),[Vincent_D_Onofrio]
8388699,Rivada Xm Resource-Allocation-Notify-Request/Answer (MANR/MANA),[Vincent_D_Onofrio]
8388700,Rivada Xm Resource-Resume-Request/Answer (MRSR/MRSA),[Vincent_D_Onofrio]
8388701,Rivada Xm Add-UE-Context-Request/Answer (MAUR/MAUA),[Vincent_D_Onofrio]
8388702,Rivada Xm Update-UE-Context-Request/Answer (MUUR/MUUA),[Vincent_D_Onofrio]
8388703,Rivada Xm Delete-UE-Context-Request/Answer (MDUR/MDUA),[Vincent_D_Onofrio]
8388704,Rivada Xm Detach-UE-Request/Answer (MDTR/MDTA),[Vincent_D_Onofrio]
8388705,Rivada Xm Page-UE-Request/Answer (MPUR/MPUA),[Vincent_D_Onofrio]
8388706,Rivada Xm Heart-Beat-Request/Answer (MHBR/MHBA),[Vincent_D_Onofrio]
8388707,Rivada Xa DPC-Registration-Request/Answer (ADRR/ADRA),[Vincent_D_Onofrio]
8388708,Rivada Xa Heart-Beat-Request/Answer (AHBR/AHBA),[Vincent_D_Onofrio]
8388709,Rivada Xa Resource-Allocation-Request/Answer (ARAR/ARAA),[Vincent_D_Onofrio]
8388710,Rivada Xa Resource-Release-Request/Answer (ARRR/ARRA),[Vincent_D_Onofrio]
8388711,Rivada Xa Resource-Release-Notification-Request/Answer (ARNR/ARNA),[Vincent_D_Onofrio]
8388712,Rivada Xh User-Data-Request/Answer (HUDR/HUDA),[Vincent_D_Onofrio]
8388713,ProSe-Initial-Location-Information-Request/Answer (PSR/PSA),[3GPP TS 29.344][Kimmo_Kymalainen]
8388714,Nokia Session-Sync-Request/Answer (SSR/SSA),[Timo_Perala]
8388715,Nokia Session-Mass-Sync-Request/Answer (SMR/SMA),[Timo_Perala]
8388716,Nokia Fetch-Session-Request/Answer (FSR/FSA),[Timo_Perala]
8388717,Ericsson Trace-Report-Request/Answer (TRR/TRA),[Gerhard_Schmidt-Krschka]
8388718,Configuration-Information-Request/Answer (CIR/CIA),[3GPP TS 29.336][Kimmo_Kymalainen]
8388719,Reporting-Information-Request/Answer (RIR/RIA),[3GPP TS 29.336][Kimmo_Kymalainen]
8388720,Non-Aggregated-RUCI-Report-Request/Answer (NRR/NRA),[3GPP TS 29.217][Kimmo_Kymalainen]
8388721,Aggregated-RUCI-Report-Request/Answer (ARR/ARA),[3GPP TS 29.217][Kimmo_Kymalainen]
8388722,Modify-Uecontext-Request/Answer (MUR/MUA),[3GPP TS 29.217][Kimmo_Kymalainen]
8388723,Background-Data-Transfer-Request/Answer (BTR/BTA),[3GPP TS 29.154][Kimmo_Kymalainen]
8388724,Network-Status-Request/Answer (NSR/NSA),[3GPP TS 29.153][Kimmo_Kymalainen]
8388725,Network-Status-Continuous-Report-Request/Answer (NCR/NCA),[3GPP TS 29.153][Kimmo_Kymalainen]
8388726,NIDD-Information-Request/Answer (NIR/NIA),[3GPP TS 29.336][Kimmo_Kymalainen]
8388727,ProXimity-Application-Request/Answer (XAR/XAA),[3GPP TS 29.343][Kimmo_Kymalainen]
8388728,Data-Pull-Request/Answer (DPR/DPA),[3GPP TS 29.283][Kimmo_Kymalainen]
8388729,Data-Update-Request/Answer (DMR/DMA),[3GPP TS 29.283][Kimmo_Kymalainen]
8388730,Notification-Data-Request/Answer (NDR/NDA),[3GPP TS 29.283][Kimmo_Kymalainen]
8388731,TSSF-Notification-Request/Answer (TNR/TNA),[3GPP TS 29.212][Kimmo_Kymalainen]
8388732-16777213,Unassigned,
16777214,Experimental code,[RFC6733]
16777215,Experimental code,[RFC6733]
