Layer/Error-Type/Error-Code,Error-Type-Name/Error-Code-Name,Reference
0x1/0x0/0x00,Local Catastrophic,[RFC5041]
0x1/0x1/0x00,Tagged Buffer Error / Invalid Steering Tag,[RFC5041]
0x1/0x1/0x01,Tagged Buffer Error / Base or bounds violation,[RFC5041]
0x1/0x1/0x02,Tagged Buffer Error / Steering Tag not associated with DDP Stream,[RFC5041]
0x1/0x1/0x03,Tagged Buffer Error / Tagged Offset wrap,[RFC5041]
0x1/0x1/0x04,Tagged Buffer Error / Invalid DDP version,[RFC5041]
0x1/0x2/0x01,Untagged Buffer Error / Invalid Queue Number,[RFC5041]
0x1/0x2/0x02,Untagged Buffer Error / Invalid Message Sequence Number - no buffer available,[RFC5041]
0x1/0x2/0x03,Untagged Buffer Error / Invalid Message Sequence Number - Message Sequence Number range is not valid,[RFC5041]
0x1/0x2/0x04,Untagged Buffer Error / Invalid Message Offset,[RFC5041]
0x1/0x2/0x05,Untagged Buffer Error / DDP Message too long for available buffer,[RFC5041]
0x1/0x2/0x06,Untagged Buffer Error / Invalid DDP version,[RFC5041]
0x1/0x3/ALL,Reserved for use by Lower Layer Protocol,[RFC5041]
