URN Namespace,Template,Reference
3gpp,,[RFC5279]
3gpp2,[3gpp2-template],[RFC8464]
adid,,[RFC8107]
alert,,[RFC7462]
bbf,,[RFC8057]
broadband-forum-org,,[RFC8057]
cablelabs,,[RFC6289]
ccsds,,[RFC7738]
cdx,[cdx-template],[The OWASP Foundation Inc.]
cgi,,[RFC5138]
clei,,[RFC4152]
cta,[cta-template],[Consumer Technology Association]
ddi,,[RFC-urn-ddi-06]
dev,[dev-template],[RFC9039]
dgiwg,,[RFC6288]
doi,[doi-template],[DOI Foundation]
dslforum-org,,[RFC8057]
dvb,,[RFC5328][RFC7354]
ebu,,[RFC5174]
eic,[eic-template],[European Network of Transmission System Operators for Electricity (ENTSO-E)]
eidr,,[RFC7972]
epc,,[RFC5134]
epcglobal,,[RFC5134]
etsi,[etsi-template],[RFC8515]
eurosystem,,[RFC7207]
example,,[RFC6963]
fdc,,[RFC4198]
fipa,,[RFC3616]
gdst,[gdst-template],[Institute of Food Technologists]
geant,,[RFC4926]
globus,,[RFC7853]
gsma,,[RFC7254]
gvat,[gvat-template],[Bundeskanzleramt der Republik Österreich]
hbbtv,,[RFC7528]
ieee,,[RFC8069]
ietf,,[RFC2648]
iptc,,[RFC3937]
isan,,[RFC4246]
isbn,[isbn-template],[International ISBN Agency]
iso,,[RFC5141]
issn,[issn-template],[ISSN International Centre]
itu,[itu-template],[International Telecommunications Union (ITU)]
ivis,,[RFC4617]
lei,[lei-template],[Global Legal Entity Identifier Foundation (GLEIF)]
lex,[lex-template],[draft-spinosa-urn-lex-15]
liberty,,[RFC3622]
mace,,[RFC3613]
mef,,[RFC7818]
meta,[meta-template],[Juha_Hakala]
mpeg,,[RFC3614]
mrn,[mrn-template],[International Association of Marine Aids to Navigation and Lighthouse Authorities (IALA)]
nan,[nan-template],[The National Archives of Finland]
nato,,[RFC7467]
nbn,[nbn-template],[RFC8458]
nena,,[RFC6061]
newsml,,[RFC3085]
nfc,,[RFC4729]
nzl,,[RFC4350]
oasis,,[RFC3121]
ogc,,[RFC5165]
ogf,,[RFC6453]
oid,,[RFC3061]
oipf,,[RFC6893]
oma,,[RFC4358]
onem2m,[onem2m-template],[oneM2M Partnership Project]
onf,[onf-template],[Open Networking Foundation]
pin,,[RFC3043]
publicid,,[RFC3151]
pwid,[pwid-template],[Eld_Zierau]
reso,[reso-template],[Real Estate Standards Organization (RESO)]
s1000d,,[RFC4688]
schac,,[RFC6338]
service,,[RFC5031]
smpte,,[RFC5119]
swift,,[RFC3615]
tva,,[RFC4195]
uci,,[RFC4179]
ucode,,[RFC6588][RFC Errata 3188][RFC Errata 3189]
uic,[uic-template],[Union International de Chemin de Fer]
uuid,,[RFC4122]
web3d,,[RFC3541]
xmlorg,,[RFC3120]
xmpp,,[RFC4854]
