Addresses,Usage,Reference
00-00-00 to 7F-FF-FF,IPv4 Multicast,[RFC1112]
80-00-00 to 8F-FF-FF,MPLS Multicast,[RFC5332]
90-00-00,MPLS-TP p2p,[RFC7213]
90-00-01,Bidirectional Forwarding Detection (BFD) on Link Aggregation Group (LAG) Interfaces,[RFC7130]
90-00-02,AllL1MI-ISs,[RFC6822]
90-00-03,AllL2MI-ISs,[RFC6822]
90-00-04 to 90-00-FF,Unassigned (small allocations),
90-01-00,TRILL OAM,[RFC7455]
90-01-01 to 90-01-FF,Unassigned (small allocations requiring both unicast and multicast),
90-02-00 to 90-0F-FF,Unassigned,
90-10-00 to 90-10-FF,Documentation,[RFC7042]
90-11-00 to FF-FF-FF,Unassigned,
