"ID",Algorithm,Reference
0,Plaintext or unencrypted data,[RFC4880]
1,IDEA,"[Lai, X., ""On the design and security of block
ciphers"", ETH Series in Information Processing,
J.L. Massey (editor), Vol. 1, Hartung-Gorre Verlag
Knostanz, Technische Hochschule (Zurich), 1992]"
2,"TripleDES (DES-EDE, [SCHNEIER] [HAC] 168 bit
key derived from 192)",
3,"CAST5 (128 bit key, as per RFC 2144)",
4,"Blowfish (128 bit key, 16 rounds)","[Schneier, B. ""Description of a New Variable-Length
Key, 64-Bit Block Cipher (Blowfish)""
Fast Software Encryption, Cambridge Security Workshop
Proceedings (December 1993), Springer-Verlag, 1994,
pp191-204]"
5,Reserved,
6,Reserved,
7,AES with 128-bit key,[http://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.197.pdf]
8,AES with 192-bit key,[http://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.197.pdf]
9,AES with 256-bit key,[http://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.197.pdf]
10,Twofish with 256-bit key,"[B. Schneier, J. Kelsey, D. Whiting, D. Wagner, C.
Hall, and N. Ferguson, ""The Twofish Encryption
Algorithm"", John Wiley & Sons, 1999.]"
11,Camellia with 128 bit key,[RFC5581]
12,Camellia with 192 bit key,[RFC5581]
13,Camellia with 256 bit key,[RFC5581]
14-99,Unassigned,
100-110,Private/Experimental algorithm,[RFC4880]
111-255,Unassigned,
