Value,Attribute,Reference
0,Reserved - a packet tag MUST NOT have this value,[RFC4880]
1,Public-Key Encrypted Session Key Packet,[RFC4880]
2,Signature Packet,[RFC4880]
3,Symmetric-Key Encrypted Session Key Packet,[RFC4880]
4,One-Pass Signature Packet,[RFC4880]
5,Secret Key Packet,[RFC4880]
6,Public Key Packet,[RFC4880]
7,Secret Subkey Packet,[RFC4880]
8,Compressed Data Packet,[RFC4880]
9,Symmetrically Encrypted Data Packet,[RFC4880]
10,Marker Packet,[RFC4880]
11,Literal Data Packet,[RFC4880]
12,Trust Packet,[RFC4880]
13,User ID Packet,[RFC4880]
14,Public Subkey Packet,[RFC4880]
15-16,Unknown,
17,User Attribute Packet,[RFC4880]
18,Sym. Encrypted and Integrity Protected Data Packet,[RFC4880]
19,Modification Detection Code Packet,[RFC4880]
20-59,Unassigned,[RFC4880]
60-63,Private or Experimental Values,[RFC4880]
