"ID",Algorithm,Text Name,Reference
1,MD5 (deprecated),"""MD5""","[Alfred Menezes, Paul van Oorschot, and Scott Vanstone,
""Handbook of Applied Cryptography,"" CRC Press, 1996.][RFC1321]"
2,SHA-1,"""SHA1""",[[FIPS180]]
3,RIPE-MD/160,"""RIPEMD160""","[Alfred Menezes, Paul van Oorschot, and Scott Vanstone,
""Handbook of Applied Cryptography,"" CRC Press, 1996.]"
4-7,Reserved,,[RFC4880]
8,SHA256,"""SHA256""",[[FIPS180]]
9,SHA384,"""SHA384""",[[FIPS180]]
10,SHA512,"""SHA512""",[[FIPS180]]
11,SHA224,"""SHA224""",[[FIPS180]]
12-99,Unassigned,,[RFC4880]
100-110,Private/Experimental algorithm,,
111-255,Unassigned,,[RFC4880]
