Value,Name,Reference
0x00000000,AnyUnrecognizedValidateErrorCase,"[RFC6956], section 4.4"
0x00000001,InvalidIPv4PacketSize,"[RFC6956], section 4.4"
0x00000002,NotIPv4Packet,"[RFC6956], section 4.4"
0x00000003,InvalidIPv4HeaderLengthSize,"[RFC6956], section 4.4"
0x00000004,InvalidIPv4LengthFieldSize,"[RFC6956], section 4.4"
0x00000005,InvalidIPv4Checksum,"[RFC6956], section 4.4"
0x00000006,InvalidIPv4SrcAddr,"[RFC6956], section 4.4"
0x00000007,InvalidIPv4DstAddr,"[RFC6956], section 4.4"
0x00000008,InvalidIPv6PacketSize,"[RFC6956], section 4.4"
0x00000009,NotIPv6Packet,"[RFC6956], section 4.4"
0x0000000a,InvalidIPv6SrcAddr,"[RFC6956], section 4.4"
0x0000000b,InvalidIPv6DstAddr,"[RFC6956], section 4.4"
0x0000000c-0x7fffffff,Unassigned,
0x80000000-0xffffffff,Reserved for Private Use,"[RFC6956], section 4.4"
