Value,Name,Reference
0x00000000,AnyUnrecognizedExceptionCase,"[RFC6956], section 4.4"
0x00000001,ClassifyNoMatching,"[RFC6956], section 4.4"
0x00000002,MediaEncapInfoIndexInvalid,"[RFC6956], section 4.4"
0x00000003,EncapTableLookupFailed,"[RFC6956], section 4.4"
0x00000004,BadTTL,"[RFC6956], section 4.4"
0x00000005,IPv4HeaderLengthMismatch,"[RFC6956], section 4.4"
0x00000006,RouterAlertOptions,"[RFC6956], section 4.4"
0x00000007,IPv6HopLimitZero,"[RFC6956], section 4.4"
0x00000008,IPv6NextHeaderHBH,"[RFC6956], section 4.4"
0x00000009,SrcAddressException,"[RFC6956], section 4.4"
0x0000000a,DstAddressException,"[RFC6956], section 4.4"
0x0000000b,LPMLookupFailed,"[RFC6956], section 4.4"
0x0000000c,HopSelectorInvalid,"[RFC6956], section 4.4"
0x0000000d,NextHopLookupFailed,"[RFC6956], section 4.4"
0x0000000e,FragRequired,"[RFC6956], section 4.4"
0x0000000f,MetadataNoMatching,"[RFC6956], section 4.4"
0x00000010-0x7fffffff,Unassigned,
0x80000000-0xffffffff,Reserved for Private Use,"[RFC6956], section 4.4"
