LFB Class Identifier,LFB Class Name,LFB Version,Description,Reference
0,Reserved,1.0,Reserved,[RFC5812]
1,FE Object,1.0,Defines ForCES Forwarding Element information,[RFC5812]
2,FE Protocol Object,1.0,Defines parameters for the ForCES protocol operation,[RFC5810]
2,FE Protocol Object,1.1,Defines parameters for the ForCES protocol operation,[RFC7121]
2,FE Protocol Object,1.2,Defines parameters for the ForCES protocol operation,[RFC7391]
3,EtherPHYCop,1.0,Define an Ethernet port abstracted at physical layer.,"[RFC6956], section 5.1.1"
4,EtherMACIn,1.0,Define an Ethernet input port at MAC data link layer.,"[RFC6956], section 5.1.2"
5,EtherClassifier,1.0,Define the process to decapsulate Ethernet packets and classify the packets.,"[RFC6956], section 5.1.3"
6,EtherEncap,1.0,Define the process to encapsulate IP packets to Ethernet packets.,"[RFC6956], section 5.1.4"
7,EtherMACOut,1.0,Define an Ethernet output port at MAC data link layer.,"[RFC6956], section 5.1.5"
8,IPv4Validator,1.0,Perform IPv4 packets validation.,"[RFC6956], section 5.2.1"
9,IPv6Validator,1.0,Perform IPv6 packets validation.,"[RFC6956], section 5.2.2"
10,IPv4UcastLPM,1.0,Perform IPv4 Longest Prefix Match Lookup.,"[RFC6956], section 5.3.1"
11,IPv6UcastLPM,1.0,Perform IPv6 Longest Prefix Match Lookup.,"[RFC6956], section 5.3.3"
12,IPv4NextHop,1.0,Define the process of selecting IPv4 next hop action.,"[RFC6956], section 5.3.2"
13,IPv6NextHop,1.0,Define the process of selecting IPv6 next hop action.,"[RFC6956], section 5.3.4"
14,RedirectIn,1.0,Define the process for CE to inject data packets into FE LFB topology.,"[RFC6956], section 5.4.1"
15,RedirectOut,1.0,Define the process for LFBs in FE to deliver data packets to CE.,"[RFC6956], section 5.4.2"
16,BasicMetadata Dispatch,1.0,Dispatch input packets to a group output according to a metadata.,"[RFC6956], section 5.5.1"
17,GenericScheduler,1.0,Define a preliminary generic scheduling process.,"[RFC6956], section 5.5.2"
18,IFE,1.0,An IFE LFB to standardize inter-FE LFB for ForCES Network Elements,[RFC-ietf-forces-interfelfb-06]
19,SM,1.0,"An SM LFB to standardize subsidiary management for ForCES 
      Network Elements",[RFC7729]
20-65536,Unassigned,,,
65537,Ext-Splitter,1.0,"A splitter LFB will either send the 
same packet or chunks of one packet 
to multiple LFBs.",[RFC7409]
65538,Ext-Merger,1.0,"A merger LFB receives multiple packets 
or multiple chunks of the same packet 
and merges them into one.",[RFC7409]
65539,Ext-CoreParallelization,1.0,A core LFB to signify the parallelization capability,[RFC7409]
