SRTP Type,Meaning,Reference
0,Encryption algorithm,[RFC3830]
1,Session Encr. key length,[RFC3830]
2,Authentication algorithm,[RFC3830]
3,Session Auth. key length,[RFC3830]
4,Session Salt key length,[RFC3830]
5,SRTP Pseudo Random Function,[RFC3830]
6,Key derivation rate,[RFC3830]
7,SRTP encryption off/on,[RFC3830]
8,SRTCP encryption off/on,[RFC3830]
9,sender's FEC order,[RFC3830]
10,SRTP authentication off/on,[RFC3830]
11,Authentication tag length,[RFC3830]
12,SRTP prefix length,[RFC3830]
13,ROC transmission rate,[RFC4771]
14,SRTP Auth. algorithm,[RFC4771]
15,SRTCP Auth. algorithm,[RFC4771]
16,SRTP Session Auth. key len,[RFC4771]
17,SRTCP Session Auth. key len,[RFC4771]
18,SRTP Authentication tag len,[RFC4771]
19,SRTCP Authentication tag len,[RFC4771]
20,AEAD authentication tag length,[RFC7714]
21-240,Unassigned,
241-255,Reserved,
