Range/Value,E,Description,Reference
0x00000000,0,Success,[RFC5036]
0x00000001,1,Bad LDP Identifier,[RFC5036]
0x00000002,1,Bad Protocol Version,[RFC5036]
0x00000003,1,Bad PDU Length,[RFC5036]
0x00000004,0,Unknown Message Type,[RFC5036]
0x00000005,1,Bad Message Length,[RFC5036]
0x00000006,0,Unknown TLV,[RFC5036]
0x00000007,1,Bad TLV Length,[RFC5036]
0x00000008,1,Malformted TLV Value,[RFC5036]
0x00000009,1,Hold Timer Expired,[RFC5036]
0x0000000A,1,Shutdown,[RFC5036]
0x0000000B,0,Loop Detected,[RFC5036]
0x0000000C,0,Unknown FEC,[RFC5036]
0x0000000D,0,No Route,[RFC5036]
0x0000000E,0,No Label Resources,[RFC5036]
0x0000000F,0,Label Resources/Available,[RFC5036]
0x00000010,1,Session Rejected/No Hello,[RFC5036]
0x00000011,1,Session Rejected/Parameters Advertisement Mode,[RFC5036]
0x00000012,1,Session Rejected/Parameters Max PDU Length,[RFC5036]
0x00000013,1,Session Rejected/Parameters Label Range,[RFC5036]
0x00000014,1,KeepAlive Timer Expired,[RFC5036]
0x00000015,0,Label Request Aborted,[RFC5036]
0x00000016,0,Missing Message Parameters,[RFC5036]
0x00000017,0,Unsupported Address Family,[RFC5036]
0x00000018,1,Session Rejected/Bad KeepAlive Time,[RFC5036]
0x00000019,1,Internal Error,[RFC5036]
0x0000001A,0,No LDP Session,[RFC3479]
0x0000001B,1,Zero FT seqnum,[RFC3479]
0x0000001C,1,Unexpected TLV / Session Not FT,[RFC3479]
0x0000001D,1,Unexpected TLV / Label Not FT,[RFC3479]
0x0000001E,1,Missing FT Protection TLV,[RFC3479]
0x0000001F,1,FT ACK sequence error,[RFC3479]
0x00000020,0,Temporary Shutdown,[RFC3479]
0x00000021,1,FT Seq Numbers Exhausted,[RFC3479]
0x00000022,1,FT Session parameters / changed,[RFC3479]
0x00000023,1,Unexpected FT Cork TLV,[RFC3479]
0x00000024,0,Illegal C-Bit,[RFC4447]
0x00000025,0,Wrong C-Bit,[RFC4447]
0x00000026,0,Incompatible bit-rate,[RFC4447]
0x00000027,0,CEP-TDM mis-configuration,[RFC4447]
0x00000028,0,PW Status,[RFC4447]
0x00000029,0,Unassigned/Unrecognized TAI,[RFC4447]
0x0000002A,0,Generic Misconfiguration Error,[RFC4447]
0x0000002B,0,Label Withdraw PW Status Method Not Supported,[RFC4447]
0x0000002C,0,IP Address of CE,[RFC6575]
0x0000002D,0,Attachment Circuit bound to different remote Attachment Circuit,[RFC6074]
0x0000002E,0,Unsupported Capability,[RFC5561]
0x0000002F,0,End-of-LIB,[RFC5919]
0x00000030,0,Attachment Circuit bound to different PE,[RFC6074]
0x00000031,0,Invalid Topology ID,[RFC7307]
0x00000032,1,Transport Connection Mismatch,[RFC7552]
0x00000033,1,Dual-Stack Noncompliance,[RFC7552]
0x00000034,0,"MRT Capability negotiated without MT Capability 
        (TEMPORARY - registered 2015-10-01, expires 2016-10-01)",[draft-ietf-mpls-ldp-mrt]
0x00000035,0,VCCV Type Error,[RFC7708]
0x00000036,,Unassigned,
0x00000037,0,Bandwidth resources unavailable,[RFC7267]
0x00000038,0,Resources Unavailable,[RFC7267]
0x00000039,0,AII Unreachable,[RFC7267]
0x0000003A,0,PW Loop Detected,[RFC6073]
0x0000003B-0x0000003F,,Unassigned,
0x00000040,0,LDP MP status,[RFC6388]
0x00000041-0x00000049,,Unassigned,
0x0000004A,0,IP Address Type Mismatch,[RFC6575]
0x0000004B,0,Wrong IP Address Type,[RFC6575]
0x0000004C-0x00010000,,Unassigned,
0x00010001,0,Unknown ICCP RG,[RFC7275]
0x00010002,0,ICCP Connection Count Exceeded,[RFC7275]
0x00010003,0,ICCP Application Connection Count Exceeded,[RFC7275]
0x00010004,0,ICCP Application not in RG,[RFC7275]
0x00010005,0,Incompatible ICCP Protocol Version,[RFC7275]
0x00010006,0,ICCP Rejected Message,[RFC7275]
0x00010007,0,ICCP Administratively Disabled,[RFC7275]
0x00010008-0x0001000F,,Unassigned,
0x00010010,0,ICCP RG Removed,[RFC7275]
0x00010011,0,ICCP Application Removed from RG,[RFC7275]
0x00010012-0x01000000,,Unassigned,
0x01000001,0,Unexpected Diff-Serv TLV,[RFC3270]
0x01000002,0,Unsupported PHB,[RFC3270]
0x01000003,0,Invalid EXP<-->PHB mapping,[RFC3270]
0x01000004,0,Unsupported PSC,[RFC3270]
0x01000005,0,Per-LSP context allocation failure,[RFC3270]
0x01000006-0x04000000,,Unassigned,
0x04000001,,Bad Explicit Routing TLV Error,[RFC3212]
0x04000002,,Bad Strict Node Error,[RFC3212]
0x04000003,,Bad Loose Node Error,[RFC3212]
0x04000004,,Bad Initial ER-Hop Error,[RFC3212]
0x04000005,,Resource Unavailable,[RFC3212]
0x04000006,,Traffic Parameters Unavailable,[RFC3212]
0x04000007,,LSP Preempted,[RFC3212]
0x04000008,,Modify Request Not Supported,[RFC3212]
0x04000009,,Invalid SNP ID,[RFC3475]
0x0400000A,,Calling Party busy,[RFC3475]
0x0400000B,,Unavailable SNP ID,[RFC3475]
0x0400000C,,Invalid SNPP ID,[RFC3475]
0x0400000D,,Unavailable SNPP ID,[RFC3475]
0x0400000E,,Failed to create SNC,[RFC3475]
0x0400000F,,Failed to establish LC,[RFC3475]
0x04000010,,Invalid A End-User Name,[RFC3475]
0x04000011,,Invalid Z End-User Name,[RFC3475]
0x04000012,,Invalid CoS,[RFC3475]
0x04000013,,Unavailable CoS,[RFC3475]
0x04000014,,Invalid GoS,[RFC3475]
0x04000015,,Unavailable GoS,[RFC3475]
0x04000016,,Failed Security Check,[RFC3475]
0x04000017,,TimeOut,[RFC3475]
0x04000018,,Invalid Call Name,[RFC3475]
0x04000019,,Failed to Release SNC,[RFC3475]
0x0400001A,,Failed to Free LC,[RFC3475]
0x0400001B-0x1FFFFFFF,,Unassigned,
0x20000000,0,Unknown VPN ID,"[Andy_Malis][MPLS/FR Alliance 2.0.1, ""MPLS PVC User to Network Interface
Implementation Agreement"", May 2003, Andrew G. Malis]"
0x20000001,0,Illegal C-Bit,[RFC4906]
0x20000002,0,Wrong C-Bit,[RFC4906]
0x20000003,1,E-Tree VLAN mapping not supported,[RFC7796]
0x20000004,0,Leaf-to-Leaf PW released,[RFC7796]
0x20000005-0x3EFFFFFF,,Unassigned,
0x3F000000-0x3FFFFFFF,,Reserved for Private Use,[RFC5036]
