Value,Description,Reference,Notes/Registration Date
0x050E,"MRT Capability TLV (TEMPORARY - registered 2015-10-01, 
        extension registered 2016-08-18, expires 2017-10-01)",[draft-ietf-mpls-ldp-mrt],
0x050F,Targeted Applications capability,[RFC-ietf-mpls-app-aware-tldp-09],
0x0510-0x05FF,Unassigned,,
0x0600,Label Request Message ID,[RFC5036],
0x0601,MTU TLV,[RFC3988],
0x0602,Unassigned,,
0x0603,Unrecognized Notification Capability,[RFC5919],
0x0604-0x06FF,Unassigned,,
0x0700,ICCP capability TLV,[RFC7275],
0x0701,Dual-Stack capability,[RFC7552],
0x0702-0x07FF,Unassigned,,
0x0800,Explicit Route TLV,[RFC3212],
0x0801,Ipv4 Prefix ER-Hop TLV,[RFC3212],
0x0802,Ipv6 Prefix ER-Hop TLV,[RFC3212],
0x0803,Autonomous System Number ER-Hop TLV,[RFC3212],
0x0804,LSP-ID ER-HOP TLV,[RFC3212],
0x0805,L2 PW Address of Switching Point,[RFC7392],
0x0806-0x080F,Unassigned,,
0x0810,Traffic Parameters TLV,[RFC3212],
0x0811-0x081F,Unassigned,,
0x0820,Preemption TLV,[RFC3212],
0x0821,LSPID TLV,[RFC3212],
0x0822,Resource Class TLV,[RFC3212],
0x0823,Route Pinning TLV,[RFC3212],
0x0824,Generalized Label Request TLV,[RFC3472],
0x0825,Generalized Label TLV,[RFC3472],
0x0826,Upstream Label TLV,[RFC3472],
0x0827,Label Set TLV,[RFC3472],
0x0828,Waveband Label TLV,[RFC3472],
0x0829,ER-Hop TLV,[RFC3472],
0x082A,Acceptable Label Set TLV,[RFC3472],
0x082B,Admin Status TLV,[RFC3472],
0x082C,Interface ID TLV,[RFC3472],
0x082D,IPV4 Interface ID TLV,[RFC3472],
0x082E,IPV6 Interface ID TLV,[RFC3472],
0x082F,IPv4 IF_ID Status TLV,[RFC3472],
0x0830,IPv6 IF_ID Status TLV,[RFC3472],
0x0831,Op-Sp Call ID TLV,[RFC3475],
0x0832,GU Call ID TLV,[RFC3475],
0x0833,Call Capability TLV,[RFC3475],
0x0834,Crankback TLV,[RFC3475],
0x0835,Protection TLV,[RFC3472],
0x0836,LSP_TUNNEL_INTERFACE_ID TLV,[RFC3480],
0x0837,Unnumbered Interface ID TLV,[RFC3480],
0x0838,SONET/SDH Traffic Parameters TLV,[RFC4606],
0x0839-0x0900,Unassigned,,
0x0901,Diff-Serv TLV,[RFC3270],
0x0902,HSMP LSP Capability Parameter,[RFC7140],2014-01-09
0x0903-0x095F,Unassigned,,
0x0960,IPv4 Source ID TLV,[RFC3476],
0x0961,IPv6 Source ID TLV,[RFC3476],
0x0962,NSAP Source ID TLV,[RFC3476],
0x0963,IPv4 Destination ID TLV,[RFC3476],
0x0964,IPv6 Destination ID TLV,[RFC3476],
0x0965,NSAP Destination ID TLV,[RFC3476],
0x0966,Egress Label TLV,[RFC3476],
0x0967,Local Connection ID TLV,[RFC3476],
0x0968,Diversity TLV,[RFC3476],
0x0969,Contract ID TLV,[RFC3476],
0x096A,PW Status TLV,[RFC8077],
0x096B,PW Interface Parameters TLV,[RFC8077],
0x096C,PW Group ID TLV,[RFC8077],
0x096D,Pseudowire Switching Point PE TLV,[RFC6073],
0x096E,Bandwidth TLV,[RFC7267],
0x096F,LDP MP Status TLV Type,[RFC6388],
0x0970,UNI Service Level TLV,[RFC3476],
0x0971,Queue Request TLV,[RFC7032],
0x0972,MP Node Protection Capability,[RFC7715],
0x0973,PSN Tunnel Binding TLV,[RFC7965],2016-07-22
0x0974,Egress Protection Capability,[RFC8104],2017-02-08
0x0975-0x3DFF,Unassigned,,
0x3E00-0x3EFF,Reserved for Vendor-Private Extensions,[RFC5036],
0x3F00-0x3FFF,Reserved for Experimental Extensions,[RFC5036],
