Value,Description,Reference
1,IPv4 (IP version 4),[RFC2868]
2,IPv6 (IP version 6),[RFC2868]
3,NSAP,[RFC2868]
4,HDLC (8-bit multidrop),[RFC2868]
5,BBN 1822,[RFC2868]
6,"802 (includes all 802 media plus Ethernet ""canonical format"")",[RFC2868]
7,E.163 (POTS),[RFC2868]
8,"E.164 (SMDS, Frame Relay, ATM)",[RFC2868]
9,F.69 (Telex),[RFC2868]
10,"X.121 (X.25, Frame Relay)",[RFC2868]
11,IPX,[RFC2868]
12,Appletalk,[RFC2868]
13,Decnet IV,[RFC2868]
14,Banyan Vines,[RFC2868]
15,E.164 with NSAP format subaddress,[RFC2868]
