Value,Description,Reference
1,Point-to-Point Tunneling Protocol (PPTP),[RFC2868]
2,Layer Two Forwarding (L2F),[RFC2868]
3,Layer Two Tunneling Protocol (L2TP),[RFC2868]
4,Ascend Tunnel Management Protocol (ATMP),[RFC2868]
5,Virtual Tunneling Protocol (VTP),[RFC2868]
6,IP Authentication Header in the Tunnel-mode (AH),[RFC2868]
7,IP-in-IP Encapsulation (IP-IP),[RFC2868]
8,Minimal IP-in-IP Encapsulation (MIN-IP-IP),[RFC2868]
9,IP Encapsulating Security Payload in the Tunnel-mode (ESP),[RFC2868]
10,Generic Route Encapsulation (GRE),[RFC2868]
11,Bay Dial Virtual Services (DVS),[RFC2868]
12,IP-in-IP Tunneling,[RFC2868]
13,Virtual LANs (VLAN),[RFC3580]
