CAtype,Local Name,Description,Example,Namespace URI,Contact,Schema,Type,Reference
0,,language,i-default,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC2277]
1,A1,"national subdivisions (state, canton, region, province, prefecture)",,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
2,A2,"county, parish, gun (JP), district (IN)",,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
3,A3,"city, township, shi (JP)",,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
4,A4,"city division, borough, city district, ward, chou (JP)",,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
5,A5,"neighborhood, block",,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
6,A6,group of streets below the neighborhood level,,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
7-10,,Unassigned,,,,,,
11-15,,RESERVED by Relative Location Parameters registry,,,,,,[RFC7035]
16,PRD,leading street direction,N,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
17,POD,trailing street suffix,SW,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
18,STS,street suffix or type,"Ave, Platz",urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
19,HNO,house number,123,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
20,HNS,house number suffix,"A, 1/2",urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
21,LMK,landmark or vanity address,Columbia University,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
22,LOC,additional location information,South Wing,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
23,NAM,name (residence and office occupant),Joe's Barbershop,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
