Attribute Type,Description,Reference
0,"Message Type AVP                                
Also, see Message Type AVP values below",[RFC2661]
1,"Result Code AVP                                 
Also, see Result Code AVP values below",[RFC2661]
2,Protocol Version AVP,[RFC2661]
3,"Framing Capabilities AVP                        
Also, see Framing Field definition below",[RFC2661]
4,"Bearer Capabilities AVP                         
Also, see Bearer Field definition below",[RFC2661]
5,Tie Breaker AVP,[RFC2661]
6,Firmware Revision AVP,[RFC2661]
7,Host Name AVP,[RFC2661]
8,Vendor Name AVP,[RFC2661]
9,Assigned Tunnel ID AVP,[RFC2661]
10,Receive Window Size AVP,[RFC2661]
11,Challenge AVP,[RFC2661]
12,Q.931 Cause Code AVP,[RFC2661]
13,Response AVP,[RFC2661]
14,Assigned Session ID AVP,[RFC2661]
15,Call Serial Number AVP,[RFC2661]
16,Minimum BPS AVP,[RFC2661]
17,Maximum BPS AVP,[RFC2661]
18,"Bearer Type AVP                                 
Also, see Bearer Field definition below",[RFC2661]
19,"Framing Type AVP                                
Also, see Framing Field definition below",[RFC2661]
20,Reserved,[RFC2661]
21,Called Number AVP,[RFC2661]
22,Calling Number AVP,[RFC2661]
23,Sub-Address AVP,[RFC2661]
24,(Tx) Connect Speed BPS AVP,[RFC2661]
25,Physical Channel ID AVP,[RFC2661]
26,Initial Received LCP CONFREQ AVP,[RFC2661]
27,Last Sent LCP CONFREQ AVP,[RFC2661]
28,Last Received LCP CONFREQ AVP,[RFC2661]
29,"Proxy Authen Type AVP                           
Also, see Proxy Authen Type AVP Values below",[RFC2661]
30,Proxy Authen Name AVP,[RFC2661]
31,Proxy Authen Challenge AVP,[RFC2661]
32,Proxy Authen ID AVP,[RFC2661]
33,Proxy Authen Response AVP,[RFC2661]
34,Call Errors AVP,[RFC2661]
35,ACCM AVP,[RFC2661]
36,Random Vector AVP,[RFC2661]
37,Private Group ID AVP,[RFC2661]
38,Rx Connect Speed AVP,[RFC2661]
39,Sequencing Required AVP,[RFC2661]
40,Rx Minimum BPS,[RFC3301]
41,Rx Maximum BPS,[RFC3301]
42,"Service Category                                
Also, see Service Category AVP Flag Fields
below",[RFC3301]
43,Service Name,[RFC3301]
44,Calling Sub-Address,[RFC3301]
45,VPI/VCI Identifier,[RFC3301]
46,"PPP Disconnect Cause Code                       
Also, see PPP Disconnect Cause Code Values
below",[RFC3145]
47,CCDS AVP,[RFC3308]
48,SDS AVP,[RFC3308]
49,LCP Want Options,[RFC3437]
50,LCP Allow Options,[RFC3437]
51,LNS Last Sent LCP Confreq,[RFC3437]
52,LNS Last Received LCP Confreq,[RFC3437]
53,Modem On-Hold Capable AVP,[RFC3573]
54,Modem On-Hold Status AVP,[RFC3573]
55,PPPoE Relay AVP,[RFC3817]
56,PPPoE Relay Response Capability AVP,[RFC3817]
57,PPPoE Relay Forward Capability AVP,[RFC3817]
58,Extended Vendor ID AVP,[RFC3931]
59,Message Digest,[RFC3931]
60,Router ID,[RFC3931]
61,Assigned Control Connection ID,[RFC3931]
62,Pseudowire Capabilities List,[RFC3931]
63,Local Session ID,[RFC3931]
64,Remote Session ID,[RFC3931]
65,Assigned Cookie,[RFC3931]
66,Remote End ID,[RFC3931]
67,Application Code,[RFC3931]
68,Pseudowire Type,[RFC3931]
69,L2-Specific Sublayer,[RFC3931]
70,Data Sequencing,[RFC3931]
71,Circuit Status,[RFC3931]
72,Preferred Language,[RFC3931]
73,Control Message Authentication Nonce,[RFC3931]
74,Tx Connect Speed,[RFC3931]
75,Rx Connect Speed,[RFC3931]
76,Failover Capability,[RFC4951]
77,Tunnel Recovery,[RFC4951]
78,Suggested Control Sequence,[RFC4951]
79,Failover Session State,[RFC4951]
80,Multicast Capability,[RFC4045]
81,New Outgoing Sessions,[RFC4045]
82,New Outgoing Sessions Acknowledgement,[RFC4045]
83,Withdraw Outgoing Sessions,[RFC4045]
84,Multicast Packets Priority,[RFC4045]
85,Frame-Relay Header Length,[RFC4591]
86,ATM Maximum Concatenated Cells AVP,[RFC4454]
87,OAM Emulation Required AVP,[RFC4454]
88,"ATM Alarm Status AVP                            
Also, see ATM Alarm Status AVP Values below",[RFC4454]
89,Attachment Group Identifier,[RFC4667]
90,Local End Identifier,[RFC4667]
91,Interface Maximum Transmission Unit,[RFC4667]
92,FCS Retention,[RFC4720]
93,Tunnel Switching Aggregator ID AVP,[draft-ietf-l2tpext-tunnel-switching-06]
94,Maximum Receive Unit (MRU) AVP,[RFC4623]
95,Maximum Reassembled Receive Unit (MRRU) AVP,[RFC4623]
96,VCCV Capability AVP,[RFC5085]
97,Connect Speed Update AVP,[RFC5515]
98,Connect Speed Update Enable AVP,[RFC5515]
99,TDM Pseudowire AVP,[RFC5611]
100,RTP AVP,[RFC5611]
101,PW Switching Point AVP,[RFC6073]
102,S-BFD Target Discriminator ID,[RFC7886]
103-65535,Unassigned,
