Value,Description,Reference,Registration Date
0x0001,Frame Relay DLCI Pseudowire Type,[RFC4591],
0x0002,ATM AAL5 SDU VCC transport,[RFC4454],
0x0003,ATM Cell transparent Port Mode,[RFC4454],
0x0004,Ethernet VLAN Pseudowire Type,[RFC4719],
0x0005,Ethernet Pseudowire Type,[RFC4719],
0x0006,HDLC Pseudowire Type,[RFC4349],
0x0009,ATM Cell transport VCC Mode,[RFC4454],
0x000A,ATM Cell transport VPC Mode,[RFC4454],
0x000B,Unassigned,,
0x000C,MPEG-TS Payload Type (MPTPW),"[""Data-Over-Cable
        Service Interface Specifications: Downstream External PHY Interface
        Specification CM-SP-DEPI-I01-050805"", DOCSIS, August 2005]",2006-01-30
0x000D,Packet Streaming Protocol (PSPPW),"[""Data-Over-Cable
        Service Interface Specifications: Downstream External PHY Interface
        Specification CM-SP-DEPI-I01-050805"", DOCSIS, August 2005]",2006-01-30
0x000E-0x0010,Unassigned,,
0x0011,Structure-agnostic E1 circuit,[RFC5611],
0x0012,Structure-agnostic T1 (DS1) circuit,[RFC5611],
0x0013,Structure-agnostic E3 circuit,[RFC5611],
0x0014,Structure-agnostic T3 (DS3) circuit,[RFC5611],
0x0015,CESoPSN basic mode,[RFC5611],
0x0016,Unassigned,,
0x0017,CESoPSN TDM with CAS,[RFC5611],
