Attribute Value,Attribute,Reference
0x00000000-0x0000FFFF,Reserved,[RFC1997]
0x00010000-0xFFFEFFFF,Reserved for Private Use,[RFC1997]
0xFFFF0000,GRACEFUL_SHUTDOWN,[RFC8326]
0xFFFF0001,ACCEPT_OWN,[RFC7611]
0xFFFF0002,ROUTE_FILTER_TRANSLATED_v4,[draft-l3vpn-legacy-rtc]
0xFFFF0003,ROUTE_FILTER_v4,[draft-l3vpn-legacy-rtc]
0xFFFF0004,ROUTE_FILTER_TRANSLATED_v6,[draft-l3vpn-legacy-rtc]
0xFFFF0005,ROUTE_FILTER_v6,[draft-l3vpn-legacy-rtc]
0xFFFF0006,LLGR_STALE,[draft-uttaro-idr-bgp-persistence]
0xFFFF0007,NO_LLGR,[draft-uttaro-idr-bgp-persistence]
0xFFFF0008,accept-own-nexthop,[draft-agrewal-idr-accept-own-nexthop]
0xFFFF0009,Standby PE,[RFC-ietf-bess-mvpn-fast-failover-15]
0xFFFF000A-0xFFFF0299,Unassigned,
0xFFFF029A,BLACKHOLE,[RFC7999]
0xFFFF029B-0xFFFFFF00,Unassigned,
0xFFFFFF01,NO_EXPORT,[RFC1997]
0xFFFFFF02,NO_ADVERTISE,[RFC1997]
0xFFFFFF03,NO_EXPORT_SUBCONFED,[RFC1997]
0xFFFFFF04,NOPEER,[RFC3765]
0xFFFFFF05-0xFFFFFFFF,Unassigned,
