Bundle Protocol Version,Bit Position (right to left),Description,Reference
"6,7",0,Bundle is a fragment,[RFC5050][RFC9171]
"6,7",1,ADU is an administrative record,[RFC5050][RFC9171]
"6,7",2,Bundle must not be fragmented,[RFC5050][RFC9171]
6,3,Custody transfer is requested,[RFC5050]
6,4,Destination endpoint is a singleton,[RFC5050]
"6,7",5,Acknowledgement by application is requested,[RFC5050][RFC9171]
7,6,Status time requested in reports,[RFC9171]
6,7-8,Class of service: priority,[RFC5050]
6,9-13,Class of service: reserved,[RFC5050]
"6,7",14,Request reporting of bundle reception,[RFC5050][RFC9171]
6,15,Request reporting of custody acceptance,[RFC5050]
"6,7",16,Request reporting of bundle forwarding,[RFC5050][RFC9171]
"6,7",17,Request reporting of bundle delivery,[RFC5050][RFC9171]
"6,7",18,Request reporting of bundle deletion,[RFC5050][RFC9171]
"6,7",19,Reserved,[RFC5050][RFC9171]
"6,7",20,Reserved,[RFC5050][RFC9171]
,21-63,Unassigned,
