Err,SubERR,Meaning,Reference
0,,"No Error, suberrors not allowed",[RFC7978]
1-5,,(no suberrors assigned),[RFC7978]
6,0,Reserved,[RFC7978]
6,1,Non-zero RESV4 nibble,[RFC7978]
6,2,Unsupported SType,[RFC7978]
6,3,Unsupported PType,[RFC7978]
6,4,Unknown Key ID,[RFC7978]
6,5,Unsupported Ethertype with PType = 2,[RFC7978]
6,6,Unsupported authentication algorithm for SType = 1,[RFC7978]
6,7,Non-zero SubERR with zero ERR field,[RFC7978]
6,8-15,Unassigned,
7-14,,(no suberrors assigned),[RFC7978]
15,,Reserved,[RFC7978]
