Bit,Description,Reference
0,Affinity sub-TLV support,[RFC7783]
1,FGL-safe,[RFC7172]
2,OAM capable,[RFC7455]
3,Backwards-compatible OAM,[RFC7455]
4,E-L1FS FS-LSP support,[RFC7780][RFC7356]
5,Able to handle the NickBlockFlags APPsub-TLV,[RFC-ietf-trill-multilevel-unique-nickname-07]
6-13,Unassigned,
14,Extended Hop Count support,[RFC7780]
15-16,Unassigned,
17-20,available non-critical reserved flags,[RFC7179]
21-26,available critical ingress-to-egress flags,[RFC7179]
27-28,Extended Color support,[RFC7780]
29-31,Extended header flag support,[RFC7179][RFC7780]
