Value,Nofity Messages - Error Types,Reference
1,INVALID-PAYLOAD-TYPE,[RFC2408]
2,DOI-NOT-SUPPORTED,[RFC2408]
3,SITUATION-NOT-SUPPORTED,[RFC2408]
4,INVALID-COOKIE,[RFC2408]
5,INVALID-MAJOR-VERSION,[RFC2408]
6,INVALID-MINOR-VERSION,[RFC2408]
7,INVALID-EXCHANGE-TYPE,[RFC2408]
8,INVALID-FLAGS,[RFC2408]
9,INVALID-MESSAGE-ID,[RFC2408]
10,INVALID-PROTOCOL-ID,[RFC2408]
11,INVALID-SPI,[RFC2408]
12,INVALID-TRANSFORM-ID,[RFC2408]
13,ATTRIBUTES-NOT-SUPPORTED,[RFC2408]
14,NO-PROPOSAL-CHOSEN,[RFC2408]
15,BAD-PROPOSAL-SYNTAX,[RFC2408]
16,PAYLOAD-MALFORMED,[RFC2408]
17,INVALID-KEY-INFORMATION,[RFC2408]
18,INVALID-ID-INFORMATION,[RFC2408]
19,INVALID-CERT-ENCODING,[RFC2408]
20,INVALID-CERTIFICATE,[RFC2408]
21,CERT-TYPE-UNSUPPORTED,[RFC2408]
22,INVALID-CERT-AUTHORITY,[RFC2408]
23,INVALID-HASH-INFORMATION,[RFC2408]
24,AUTHENTICATION-FAILED,[RFC2408]
25,INVALID-SIGNATURE,[RFC2408]
26,ADDRESS-NOTIFICATION,[RFC2408]
27,NOTIFY-SA-LIFETIME,[RFC2408]
28,CERTIFICATE-UNAVAILABLE,[RFC2408]
29,UNSUPPORTED-EXCHANGE-TYPE,[RFC2408]
30,UNEQUAL-PAYLOAD-LENGTHS,[RFC2408]
31-8191,RESERVED (Future Use),
