Value,Name,Reference
0,Not significant,[RFC4328]
1,"ODU1 (i.e., 2.5Gbps)",[RFC4328]
2,"ODU2 (i.e., 10Gbps)",[RFC4328]
3,"ODU3 (i.e., 40Gbps)",[RFC4328]
4,"ODU4 (i.e., 100Gbps)",[RFC7139]
5,Unassigned,[RFC4328]
6,OCh at 2.5Gbps,[RFC4328]
7,OCh at 10Gbps,[RFC4328]
8,OCh at 40Gbps,[RFC4328]
9,OCh at 100Gbps,[RFC7139]
10,"ODU0 (i.e., 1.25Gbps)",[RFC7139]
11,"ODU2e (i.e., 10Gbps for FC1200 and GE LAN)",[RFC7139]
12-19,Unassigned,
20,"ODUflex(CBR) (i.e., 1.25*N Gbps)",[RFC7139]
21,"ODUflex(GFP-F), resizable (i.e., 1.25*N Gbps)",[RFC7139]
22,"ODUflex(GFP-F), non resizable (i.e., 1.25*N Gbps)",[RFC7139]
23-255,Unassigned,
