Type,Length,Format,Description,Reference
0,,,Unassigned,
1,8,IPv4 Addr.,IPv4,[RFC3471]
2,20,IPv6 Addr.,IPv6,[RFC3471]
3,12,Compound,IF_INDEX (Interface Index),[RFC3471]
4,12,Compound,COMPONENT_IF_DOWNSTREAM (Component interface) - DEPRECATED,[RFC3471][RFC4201]
5,12,Compound,COMPONENT_IF_UPSTREAM (Component interface) - DEPRECATED,[RFC3471][RFC4201]
6,varies,See [RFC4920] Sec. 6.2,DOWNSTREAM_LABEL (GMPLS label),[RFC4920]
7,varies,See [RFC4920] Sec. 6.2,UPSTREAM_LABEL (GMPLS label),[RFC4920]
8,8,See [RFC4920] Sec. 6.2,NODE_ID (TE Router ID),[RFC4920]
9,x,See [RFC4920] Sec. 6.2,OSPF_AREA (Area ID),[RFC4920]
10,x,See [RFC4920] Sec. 6.2,ISIS_AREA (Area ID),[RFC4920]
11,8,See [RFC4920] Sec. 6.2,AUTONOMOUS_SYSTEM (Autonomous system),[RFC4920]
12,varies,See [RFC4920] Sec. 6.2,ERO_CONTEXT (ERO subobject),[RFC4920]
13,varies,See [RFC4920] Sec. 6.2,ERO_NEXT_CONTEXT (ERO subobjects),[RFC4920]
14,8,IPv4 Addr.,PREVIOUS_HOP_IPv4 (Node address),[RFC4920]
15,20,IPv6 Addr.,PREVIOUS_HOP_IPv6 (Node address),[RFC4920]
16,8,IPv4 Addr.,INCOMING_IPv4 (Interface address),[RFC4920]
17,20,IPv6 Addr.,INCOMING_IPv6 (Interface address),[RFC4920]
18,12,Compound,INCOMING_IF_INDEX (Interface index),[RFC4920]
19,varies,See [RFC4920] Sec. 6.2,INCOMING_DOWN_LABEL (GMPLS label),[RFC4920]
20,varies,See [RFC4920] Sec. 6.2,INCOMING_UP_LABEL (GMPLS label),[RFC4920]
21,8,See [RFC4920] Sec. 6.2,REPORTING_NODE_ID (Router ID),[RFC4920]
22,x,See [RFC4920] Sec. 6.2,REPORTING_OSPF_AREA (Area ID),[RFC4920]
23,x,See [RFC4920] Sec. 6.2,REPORTING_ISIS_AREA (Area ID),[RFC4920]
24,8,See [RFC4920] Sec. 6.2,REPORTING_AS (Autonomous system),[RFC4920]
25,varies,See [RFC4920] Sec. 6.2,PROPOSED_ERO (ERO subobjects),[RFC4920]
26,varies,See [RFC4920] Sec. 6.2,NODE_EXCLUSIONS (List of nodes),[RFC4920]
27,varies,See [RFC4920] Sec. 6.2,LINK_EXCLUSIONS (List of interfaces),[RFC4920]
28,varies,See Sec. 5,RSVP-TE P2MP LSP TLV,[RFC6389]
29,varies,See Sec. 5,LDP P2MP LSP TLV,[RFC6389]
30,varies,See Sec. 5,IP Multicast Tunnel TLV,[RFC6389]
31,varies,See Sec. 5,MPLS Context Label TLV,[RFC6389]
32-511,,,Unassigned,
512,8,See RFC,REFERENCE_COUNT,[RFC4783]
513,8,See RFC,SEVERITY,[RFC4783]
514,8,See RFC,GLOBAL_TIMESTAMP,[RFC4783]
515,8,See RFC,LOCAL_TIMESTAMP,[RFC4783]
516,varies,See RFC,ERROR_STRING,[RFC4783]
517-65535,,,Unassigned,
