Value,Type,Technology,Reference
0,Unknown,All,[RFC3471]
1,Reserved,,[RFC3471]
2,Reserved,,[RFC3471]
3,Reserved,,[RFC3471]
4,Reserved,,[RFC3471]
5,Asynchronous mapping of E4,SDH,[RFC3471]
6,Asynchronous mapping of DS3/T3,SDH,[RFC3471]
7,Asynchronous mapping of E3,SDH,[RFC3471]
8,Bit synchronous mapping of E3,SDH,[RFC3471]
9,Byte synchronous mapping of E3,SDH,[RFC3471]
10,Asynchronous mapping of DS2/T2,SDH,[RFC3471]
11,Bit synchronous mapping of DS2/T2,SDH,[RFC3471]
12,Reserved,,[RFC3471]
13,Asynchronous mapping of E1,SDH,[RFC3471]
14,Byte synchronous mapping of E1,SDH,[RFC3471]
15,Byte synchronous mapping of 31 * DS0,SDH,[RFC3471]
16,Asynchronous mapping of DS1/T1,SDH,[RFC3471]
17,Bit synchronous mapping of DS1/T1,SDH,[RFC3471]
18,Byte synchronous mapping of DS1/T1,SDH,[RFC3471]
19,VC-11 in VC-12,SDH,[RFC3471]
20,Reserved,,[RFC3471]
21,Reserved,,[RFC3471]
22,DS1 SF Asynchronous,SONET,[RFC3471]
23,DS1 ESF Asynchronous,SONET,[RFC3471]
24,DS3 M23 Asynchronous,SONET,[RFC3471]
25,DS3 C-Bit Parity Asynchronous,SONET,[RFC3471]
26,VT/LOVC,SDH,[RFC3471]
27,STS SPE/HOVC,SDH,[RFC3471]
28,"POS - No Scrambling, 16 bit CRC",SDH,[RFC3471]
29,"POS - No Scrambling, 32 bit CRC",SDH,[RFC3471]
30,"POS - Scrambling, 16 bit CRC",SDH,[RFC3471]
31,"POS - Scrambling, 32 bit CRC",SDH,[RFC3471]
32,ATM mapping,"SDH, G.709 ODUk",[RFC3471][RFC4328]
33,Ethernet PHY,"SDH, G.709 OCh, Lambda, Fiber",[RFC3471][RFC4328]
34,SONET/SDH,"G.709 OCh, Lambda, Fiber",[RFC3471][RFC4328]
35,Reserved (SONET deprecated),"G.709 OCh, Lambda, Fiber",[RFC3471][RFC4328]
36,Digital Wrapper,"Lambda, Fiber",[RFC3471]
37,Lambda,Fiber,[RFC3471]
38,ANSI/ETSI PDH,SDH,[RFC3471]
39,Reserved,SDH,[RFC3471]
40,"Link Access Protocol SDH               
(LAPS - X.85 and X.86)",SDH,[RFC3471]
41,FDDI,"SDH, Lambda, Fiber",[RFC3471]
42,DQDB (ETSI ETS 300 216),SDH,[RFC3471]
43,FiberChannel-3 (Services),FiberChannel,[RFC3471]
44,HDLC,SDH,[RFC3471]
45,Ethernet V2/DIX (only),"SDH, Lambda, Fiber",[RFC3471]
46,Ethernet 802.3 (only),"SDH, Lambda, Fiber",[RFC3471]
47,G.709 ODU-2.5G,G.709 ODUk,[RFC4328][RFC7139]
48,G.709 OTUk(v),G.709 OCh ODUk mapped into OTUk(v),[RFC4328]
49,CBR/CBRa,"G.709 ODUk, G.709 OCh",[RFC4328]
50,CBRb,G.709 ODUk,[RFC4328]
51,BSOT,G.709 ODUk,[RFC4328]
52,BSNT,G.709 ODUk,[RFC4328]
53,IP/PPP (GFP),G.709 ODUk (and SDH),[RFC4328]
54,Ethernet MAC (framed GFP),G.709 ODUk (and SDH),[RFC4328]
55,Ethernet PHY (transparent GFP),G.709 ODUk (and SDH),[RFC4328]
56,SBCON/ESCON,"G.709 ODUk, Lambda, Fiber",[RFC4328][RFC7139]
57,FICON,"G.709 ODUk, Lambda, Fiber",[RFC4328]
58,Fiber Channel,"G.709 ODUk, Lambda, Fiber",[RFC4328]
59,Framed GFP,G.709 ODUk,[RFC7139]
60,STM-1,G.709 ODUk,[RFC7139]
61,STM-4,G.709 ODUk,[RFC7139]
62,InfiniBand,G.709 ODUflex,[RFC7139]
63,SDI (Serial Digital Interface),G.709 ODUk,[RFC7139]
64,SDI/1.001,G.709 ODUk,[RFC7139]
65,DVB_ASI,G.709 ODUk,[RFC7139]
66,G.709 ODU-1.25G,G.709 ODUk,[RFC7139]
67,G.709 ODU-Any,G.709 ODUk,[RFC7139]
68,Null Test,G.709 ODUk,[RFC7139]
69,Random Test,G.709 ODUk,[RFC7139]
70,64B/66B GFP-F Ethernet,G.709 ODUk,[RFC7139]
71-31743,Unassigned,,
31744-32767,Experimental Usage/temporarily,,
32768-65535,Reserved,,[RFC4328]
