Value,Name,ACPI,Reference
0,Reserved,,[RFC7326]
1,Reserved,,[RFC7326]
2,ON,G0-S0,[RFC7326]
3,Sleep-Light,G1-S1 G1-S2,[RFC7326]
4,Sleep-Deep,G1-S3,[RFC7326]
5,Power Cycle (Off-Soft),G2-S5,[RFC7326]
6,Off-Hard,G3,[RFC7326]
7,Hibernate (Off-Soft),G1-S4,[RFC7326]
8,Off-Soft,G2-S5,[RFC7326]
9,Power Cycle (Off-Hard),G3,[RFC7326]
10,Master Bus Reset,G2-S5,[RFC7326]
11,Diagnostic Interrupt,G2-S5,[RFC7326]
12,Off-Soft Graceful,G2-S5,[RFC7326]
13,Off-Hard Graceful,G3,[RFC7326]
14,MasterBus Reset Graceful,G2-S5,[RFC7326]
15,Power Cycle Off-Soft Graceful,G2-S5,[RFC7326]
16,Power Cycle Off-Hard Graceful,G3,[RFC7326]
17-255,Unassigned,,
