Value,Message Type,Reference
1,DHCPDISCOVER,[RFC2132]
2,DHCPOFFER,[RFC2132]
3,DHCPREQUEST,[RFC2132]
4,DHCPDECLINE,[RFC2132]
5,DHCPACK,[RFC2132]
6,DHCPNAK,[RFC2132]
7,DHCPRELEASE,[RFC2132]
8,DHCPINFORM,[RFC2132]
9,DHCPFORCERENEW,[RFC3203]
10,DHCPLEASEQUERY,[RFC4388]
11,DHCPLEASEUNASSIGNED,[RFC4388]
12,DHCPLEASEUNKNOWN,[RFC4388]
13,DHCPLEASEACTIVE,[RFC4388]
14,DHCPBULKLEASEQUERY,[RFC6926]
15,DHCPLEASEQUERYDONE,[RFC6926]
16,DHCPACTIVELEASEQUERY,[RFC7724]
17,DHCPLEASEQUERYSTATUS,[RFC7724]
18,DHCPTLS,[RFC7724]
