Type,SDP Name,Mux Category,Reference
att-field (both session and media level),recvonly,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),sendrecv,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),sendonly,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),sdplang,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),lang,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),h248item,SPECIAL,[ITU-T H.248.15][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),sqn,NORMAL,[RFC3407][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),cdsc,NORMAL,[RFC3407][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),cpar,INHERIT,[RFC3407][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),cparmin,SPECIAL,[RFC3407][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),cparmax,SPECIAL,[RFC3407][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),rtcp-xr,NORMAL,[RFC3611][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),maxprate,SPECIAL,[RFC3890][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),setup,TRANSPORT,[RFC4145][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),connection,TRANSPORT,[RFC4145][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),key-mgmt,IDENTICAL,[RFC4567][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),source-filter,IDENTICAL,[RFC4570][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),inactive,NORMAL,[RFC4566][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),fingerprint,TRANSPORT,[RFC4572][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),flute-tsi,TBD,[RFC-mehta-rmt-flute-sdp-05][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),flute-ch,TBD,[RFC-mehta-rmt-flute-sdp-05][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),FEC-declaration,TBD,[RFC-mehta-rmt-flute-sdp-05][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),FEC-OTI-extension,TBD,[RFC-mehta-rmt-flute-sdp-05][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),content-desc,TBD,[RFC-mehta-rmt-flute-sdp-05][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),ice-pwd,TRANSPORT,[RFC5245][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),ice-ufrag,TRANSPORT,[RFC5245][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),stkmstream,NORMAL,[RFC5159][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),extmap,SPECIAL,[RFC5285][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),qos-mech-send,TRANSPORT,[RFC5432][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),qos-mech-recv,TRANSPORT,[RFC5432][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),csup,NORMAL,[RFC5939][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),creq,NORMAL,[RFC5939][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),acap,INHERIT,[RFC5939][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),tcap,INHERIT,[RFC5939][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),3GPP-QoE-Metrics,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),3GPP-Asset-Information,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),mbms-mode,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),mbms-repair,CAUTION,[RFC6064][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),ike-setup,IDENTICAL,[RFC6193][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),psk-fingerprint,IDENTICAL,[RFC6193][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),multicast-rtcp,IDENTICAL,[RFC6128][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),rmcap,IDENTICAL-PER-PT,[RFC6871][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),omcap,NORMAL,[RFC6871][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),mfcap,IDENTICAL-PER-PT,[RFC6871][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),mscap,INHERIT,[RFC6871][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),3gpp.iut.replication,TBD,[Frederic_Firmin][3GPP TS 24.337 10.7.0][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),bcap,INHERIT,[RFC7006][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),ccap,IDENTICAL,[RFC7006][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),icap,NORMAL,[RFC7006][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),3gpp_sync_info,NORMAL,"[3GPP TS 26.114 Release 12, version 12.2.0, 2013-06][_3GPP_Specifications_Manager][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (both session and media level),3gpp_MaxRecvSDUSize,NORMAL,"[3GPP TS 26.114 Release 12, version 12.2.0, 2013-06][_3GPP_Specifications_Manager][RFC-ietf-mmusic-sdp-mux-attributes-16]"
att-field (both session and media level),etag,CAUTION,[RFC2326][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),duplication-delay,NORMAL,[RFC7197][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),range,CAUTION,[RFC2326][RFC7826][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),control,CAUTION,[RFC2326][RFC7826][RFC-ietf-mmusic-sdp-mux-attributes-16]
