Parameter,Status,Reference
ALTREP,Current,"[RFC5545], Section 3.2.1"
CN,Current,"[RFC5545], Section 3.2.2"
CUTYPE,Current,"[RFC5545], Section 3.2.3"
DELEGATED-FROM,Current,"[RFC5545], Section 3.2.4"
DELEGATED-TO,Current,"[RFC5545], Section 3.2.5"
DIR,Current,"[RFC5545], Section 3.2.6"
ENCODING,Current,"[RFC5545], Section 3.2.7"
FMTTYPE,Current,"[RFC5545], Section 3.2.8"
FBTYPE,Current,"[RFC5545], Section 3.2.9"
LANGUAGE,Current,"[RFC5545], Section 3.2.10"
MEMBER,Current,"[RFC5545], Section 3.2.11"
PARTSTAT,Current,"[RFC5545], Section 3.2.12"
RANGE,Current,"[RFC5545], Section 3.2.13"
RELATED,Current,"[RFC5545], Section 3.2.14"
RELTYPE,Current,"[RFC5545], Section 3.2.15"
ROLE,Current,"[RFC5545], Section 3.2.16"
RSVP,Current,"[RFC5545], Section 3.2.17"
SCHEDULE-AGENT,Current,"[RFC6638], Section 7.1"
SCHEDULE-FORCE-SEND,Current,"[RFC6638], Section 7.2"
SCHEDULE-STATUS,Current,"[RFC6638], Section 7.3"
SENT-BY,Current,"[RFC5545], Section 3.2.18"
TZID,Current,"[RFC5545], Section 3.2.19"
VALUE,Current,"[RFC5545], Section 3.2.20"
DISPLAY,Current,"[RFC7986], Section 6.1"
EMAIL,Current,"[RFC7986], Section 6.2"
FEATURE,Current,"[RFC7986], Section 6.3"
LABEL,Current,"[RFC7986], Section 6.4"
SIZE,Current,"[RFC8607], Section 4.1"
FILENAME,Current,"[RFC8607], Section 4.2"
MANAGED-ID,Current,"[RFC8607], Section 4.3"
