Status Code,Status,Reference
1.0,Current,"[RFC6638], Section 3.2.9.1"
1.1,Current,"[RFC6638], Section 3.2.9.2"
1.2,Current,"[RFC6638], Section 3.2.9.3"
2.0,Current,"[RFC5546], Section 3.6.1"
2.1,Current,"[RFC5546], Section 3.6.2"
2.2,Current,"[RFC5546], Section 3.6.3"
2.3,Current,"[RFC5546], Section 3.6.4"
2.4,Current,"[RFC5546], Section 3.6.5"
2.5,Current,"[RFC5546], Section 3.6.6"
2.6,Current,"[RFC5546], Section 3.6.7"
2.7,Current,"[RFC5546], Section 3.6.8"
2.8,Current,"[RFC5546], Section 3.6.9"
2.9,Current,"[RFC5546], Section 3.6.10"
2.10,Current,"[RFC5546], Section 3.6.11"
2.11,Current,"[RFC5546], Section 3.6.12"
3.0,Current,"[RFC5546], Section 3.6.13"
3.1,Current,"[RFC5546], Section 3.6.14"
3.2,Current,"[RFC5546], Section 3.6.15"
3.3,Current,"[RFC5546], Section 3.6.16"
3.4,Current,"[RFC5546], Section 3.6.17"
3.5,Current,"[RFC5546], Section 3.6.18"
3.6,Current,"[RFC5546], Section 3.6.19"
3.7,Current,"[RFC5546], Section 3.6.20"
3.8,Current,"[RFC5546], Section 3.6.21"
3.9,Current,"[RFC5546], Section 3.6.22"
3.10,Current,"[RFC5546], Section 3.6.23"
3.11,Current,"[RFC5546], Section 3.6.24"
3.12,Current,"[RFC5546], Section 3.6.25"
3.13,Current,"[RFC5546], Section 3.6.26"
3.14,Current,"[RFC5546], Section 3.6.27"
4.0,Current,"[RFC5546], Section 3.6.28"
5.0,Current,"[RFC5546], Section 3.6.29"
5.1,Current,"[RFC5546], Section 3.6.30"
5.2,Current,"[RFC5546], Section 3.6.31"
5.3,Current,"[RFC5546], Section 3.6.32"
