Relationship Type,Status,Reference
CHILD,Current,"[RFC5545, Section 3.2.15]"
PARENT,Current,"[RFC5545, Section 3.2.15]"
SIBLING,Current,"[RFC5545, Section 3.2.15]"
SNOOZE,Current,"[RFC9074, Section 7.1]"
CONCEPT,Current,"[RFC9253, Section 5]"
DEPENDS-ON,Current,"[RFC9253, Section 5]"
FINISHTOFINISH,Current,"[RFC9253, Section 4]"
FINISHTOSTART,Current,"[RFC9253, Section 4]"
FIRST,Current,"[RFC9253, Section 5]"
NEXT,Current,"[RFC9253, Section 5]"
REFID,Current,"[RFC9253, Section 5]"
STARTTOFINISH,Current,"[RFC9253, Section 4]"
STARTTOSTART,Current,"[RFC9253, Section 4]"
