Name,Value,Algorithm,Description,Reference
Reserved for Private Use,less than -65536,,,[RFC-ietf-6tisch-minimal-security-15]
Unassigned,-65536 to -1,,,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1K2-ENC-MIC32,0,IEEE802154-AES-CCM-128,"Use MIC-32 for EBs, ENC-MIC-32 for DATA and ACKNOWLEDGMENT.",[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1K2-ENC-MIC64,1,IEEE802154-AES-CCM-128,"Use MIC-64 for EBs, ENC-MIC-64 for DATA and ACKNOWLEDGMENT.",[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1K2-ENC-MIC128,2,IEEE802154-AES-CCM-128,"Use MIC-128 for EBs, ENC-MIC-128 for DATA and ACKNOWLEDGMENT.",[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1K2-MIC32,3,IEEE802154-AES-CCM-128,"Use MIC-32 for EBs, DATA and ACKNOWLEDGMENT.",[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1K2-MIC64,4,IEEE802154-AES-CCM-128,"Use MIC-64 for EBs, DATA and ACKNOWLEDGMENT.",[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1K2-MIC128,5,IEEE802154-AES-CCM-128,"Use MIC-128 for EBs, DATA and ACKNOWLEDGMENT.",[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1-MIC32,6,IEEE802154-AES-CCM-128,Use MIC-32 for EBs.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1-MIC64,7,IEEE802154-AES-CCM-128,Use MIC-64 for EBs.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K1-MIC128,8,IEEE802154-AES-CCM-128,Use MIC-128 for EBs.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K2-MIC32,9,IEEE802154-AES-CCM-128,Use MIC-32 for DATA and ACKNOWLEDGMENT.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K2-MIC64,10,IEEE802154-AES-CCM-128,Use MIC-64 for DATA and ACKNOWLEDGMENT.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K2-MIC128,11,IEEE802154-AES-CCM-128,Use MIC-128 for DATA and ACKNOWLEDGMENT.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K2-ENC-MIC32,12,IEEE802154-AES-CCM-128,Use ENC-MIC-32 for DATA and ACKNOWLEDGMENT.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K2-ENC-MIC64,13,IEEE802154-AES-CCM-128,Use ENC-MIC-64 for DATA and ACKNOWLEDGMENT.,[RFC-ietf-6tisch-minimal-security-15]
6TiSCH-K2-ENC-MIC128,14,IEEE802154-AES-CCM-128,Use ENC-MIC-128 for DATA and ACKNOWLEDGMENT.,[RFC-ietf-6tisch-minimal-security-15]
