Diagnostic Information,Diagnostic Flag in dMFlags,Reference
0x 0000 0000 0000 0000,Reserved All 0s value,[RFC7851]
0x 0000 0000 0000 0001,Reserved First Bit,[RFC7851]
0x 0000 0000 0000 0002,STATUS_INFO,[RFC7851]
0x 0000 0000 0000 0004,ROUTING_TABLE_SIZE,[RFC7851]
0x 0000 0000 0000 0008,PROCESS_POWER,[RFC7851]
0x 0000 0000 0000 0010,UPSTREAM_BANDWIDTH,[RFC7851]
0x 0000 0000 0000 0020,DOWNSTREAM_ BANDWIDTH,[RFC7851]
0x 0000 0000 0000 0040,SOFTWARE_VERSION,[RFC7851]
0x 0000 0000 0000 0080,MACHINE_UPTIME,[RFC7851]
0x 0000 0000 0000 0100,APP_UPTIME,[RFC7851]
0x 0000 0000 0000 0200,MEMORY_FOOTPRINT,[RFC7851]
0x 0000 0000 0000 0400,DATASIZE_STORED,[RFC7851]
0x 0000 0000 0000 0800,INSTANCES_STORED,[RFC7851]
0x 0000 0000 0000 1000,MESSAGES_SENT_RCVD,[RFC7851]
0x 0000 0000 0000 2000,EWMA_BYTES_SENT,[RFC7851]
0x 0000 0000 0000 4000,EWMA_BYTES_RCVD,[RFC7851]
0x 0000 0000 0000 8000,UNDERLAY_HOP,[RFC7851]
0x 0000 0000 0001 0000,BATTERY_STATUS,[RFC7851]
0x 8000 0000 0000 0000,Reserved Last Bit,[RFC7851]
0x ffff ffff ffff ffff,Reserved All 1s value,[RFC7851]
