Mechanism,Usage,Reference,Owner
9798-M-DSA-SHA1,COMMON,[RFC3163],[Robert_Zuccherato]
9798-M-ECDSA-SHA1,COMMON,[RFC3163],[Robert_Zuccherato]
9798-M-RSA-SHA1-ENC,COMMON,[RFC3163],[Robert_Zuccherato]
9798-U-DSA-SHA1,COMMON,[RFC3163],[Robert_Zuccherato]
9798-U-ECDSA-SHA1,COMMON,[RFC3163],[Robert_Zuccherato]
9798-U-RSA-SHA1-ENC,COMMON,[RFC3163],[Robert_Zuccherato]
ANONYMOUS,COMMON,[RFC4505],[IESG]
CRAM-MD5,LIMITED,[RFC2195],[IESG]
DIGEST-MD5,OBSOLETE,[RFC6331],[IESG]
EAP-AES128,COMMON,[RFC7055],[IESG]
EAP-AES128-PLUS,COMMON,[RFC7055],[IESG]
ECDH-X25519-CHALLENGE[1],LIMITED USE,[https://github.com/atheme/atheme/blob/master/modules/saslserv/ecdh-x25519-challenge.c],[Simon_Ser]
ECDSA-NIST256P-CHALLENGE[1],LIMITED USE,[https://github.com/kaniini/ecdsatool#mechanism-spec],[Simon_Ser]
EXTERNAL,COMMON,[RFC4422],[IESG]
GS2-*,COMMON,[RFC5801],[IESG]
GS2-KRB5,COMMON,[RFC5801],[IESG]
GS2-KRB5-PLUS,COMMON,[RFC5801],[IESG]
GSS-SPNEGO,LIMITED,[Paul_Leach],[Paul_Leach]
GSSAPI,COMMON,[RFC4752],[IESG]
KERBEROS_V4,OBSOLETE,[RFC2222],[IESG]
KERBEROS_V5,COMMON,[Simon_Josefsson],[Simon_Josefsson]
LOGIN,OBSOLETE,[draft-murchison-sasl-login],[Kenneth_Murchison][Mark_R._Crispin]
NMAS_AUTHEN,LIMITED,[Mark_G._Gayman],[Mark_G._Gayman]
NMAS_LOGIN,LIMITED,[Mark_G._Gayman],[Mark_G._Gayman]
NMAS-SAMBA-AUTH,LIMITED,[Vince_Brimhall],[Vince_Brimhall]
NTLM,LIMITED,[Paul_Leach],[Paul_Leach]
OAUTH10A,COMMON,[RFC7628],[IESG]
OAUTHBEARER,COMMON,[RFC7628],[IESG]
OPENID20,COMMON,[RFC6616],[IESG]
OTP,COMMON,[RFC2444],[IESG]
PLAIN,COMMON,[RFC4616],[IESG]
SAML20,COMMON,[RFC6595],[IESG]
SCRAM-*,COMMON,[RFC7677],[IESG]
SECURID,COMMON,[RFC2808],[Magnus_Nystrom]
SKEY,OBSOLETE,[RFC2444],[IESG]
SPNEGO,MUST NOT be used,[RFC5801],[IESG]
SPNEGO-PLUS,MUST NOT be used,[RFC5801],[IESG]
SXOVER-PLUS,COMMON,[draft-vanrein-diameter-sasl-06],[Rick_van_Rein]
XOAUTH,OBSOLETE,[N/A],[IESG]
XOAUTH2,OBSOLETE,[N/A],[IESG]
